0.07792 1:0.12461 2:0.0614892 3:0.475303719992065 4:0.033 5:0.515069557698344 6:0.0784464 7:0.443126693438666 8:-0.107777 9:-0.0975977 10:-0.0389743 11:-0.0870546 12:0.0667 13:0.611929339562657 14:0.71099406123434 15:0.485714285714286 16:0.501587301587302 17:0.725602850660274 18:0.929135937664739 19:0.731746031746032 20:1.19061722291 21:0.0159 22:0 23:0.0317 30:0.093741 #T0902:ACOMPMOD_TS1
0.10606 1:0.13653 2:0.0747426 3:0.463606772839713 4:0.042 5:0.568996355061486 6:0.0921988 7:0.466481854826518 8:0.0234126 9:0.0146393 10:0.0660409 11:0.00624086 12:0.0665 13:0.580955408730269 14:0.751369273707846 15:0.565079365079365 16:0.536507936507936 17:0.762326416666157 18:0.928073964353415 19:0.774603174603175 20:1.35313865332 21:0.0317 22:0.0794 23:0.2222 30:0.125548 #T0902:ACOMPMOD_TS2
0.08333 1:0.15161 2:0.0627243 3:0.57043834035998 4:0.033 5:0.555361443175149 6:0.177804 7:0.506503511471972 8:-0.0635001 9:-0.148826 10:-0.0660446 11:-0.123313 12:0.0547 13:0.655752001295362 14:0.698885694499822 15:0.555555555555556 16:0.498412698412698 17:0.708999424181589 18:0.887310139778215 19:0.768253968253968 20:1.37850452622 21:0.0159 22:0.127 23:0.0476 30:0.101185 #T0902:ACOMPMOD_TS3
0.079 1:0.12155 2:0.0627608 3:0.522437451412831 4:0.039 5:0.554976512890854 6:0.117074 7:0.467826798064028 8:-0.0719372 9:-0.107344 10:-0.0276332 11:-0.089124 12:0.0618 13:0.611470354763419 14:0.729859610098 15:0.526984126984127 16:0.479365079365079 17:0.74472461215817 18:0.927236423368794 19:0.763492063492063 20:1.25922713669 21:0.0635 22:0.0159 23:0.127 30:0.105742 #T0902:ACOMPMOD_TS4
0.08009 1:0.14068 2:0.0606284 3:0.513568380566608 4:0.034 5:0.646060211016938 6:0.186008 7:0.553404703606174 8:-0.0520238 9:-0.0973076 10:-0.0564252 11:-0.0764329 12:0.0626 13:0.613057331632512 14:0.769605271441462 15:0.422222222222222 16:0.584126984126984 17:0.775774052861312 18:0.932193229283506 19:0.673015873015873 20:1.34336149325 21:0.0317 22:0.0159 23:0.0159 30:0.085528 #T0902:ACOMPMOD_TS5
0.47835 1:0.27749 2:0.341135 3:0.575799108361702 4:0.254 5:0.661309704909307 6:0.240965 7:0.626383850462049 8:0.252993 9:0.296472 10:0.329188 11:0.31024 12:0.3609 13:0.696888128872758 14:0.764862652928462 15:0.736507936507937 16:0.650793650793651 17:0.775994837427241 18:0.919817227040849 19:0.866666666666667 20:1.51004431397 21:0.4444 22:0.3175 23:0.7778 30:0.424263 #T0902:Atome2_CBS_TS2
0.47835 1:0.27749 2:0.341135 3:0.575799108361702 4:0.254 5:0.661309704909307 6:0.240965 7:0.626383850462049 8:0.252993 9:0.296472 10:0.329188 11:0.31024 12:0.3609 13:0.696888128872758 14:0.764862652928462 15:0.736507936507937 16:0.650793650793651 17:0.775994837427241 18:0.919817227040849 19:0.866666666666667 20:1.51004431397 21:0.4444 22:0.3175 23:0.7778 30:0.424263 #T0902:Atome2_CBS_TS3
0.44372 1:0.30017 2:0.335784 3:0.563817854381949 4:0.254 5:0.668669373350257 6:0.253898 7:0.608135444468827 8:0.249359 9:0.276959 10:0.281217 11:0.254453 12:0.3554 13:0.694836164305658 14:0.77199756573563 15:0.742857142857143 16:0.631746031746032 17:0.783539326423119 18:0.923663031873871 19:0.871428571428571 20:1.55206741638 21:0.3492 22:0.4603 23:0.8413 30:0.426348 #T0902:Atome2_CBS_TS4
0.44372 1:0.30017 2:0.335784 3:0.563817854381949 4:0.254 5:0.668669373350257 6:0.253898 7:0.608135444468827 8:0.249359 9:0.276959 10:0.281217 11:0.254453 12:0.3554 13:0.694836164305658 14:0.77199756573563 15:0.742857142857143 16:0.631746031746032 17:0.783539326423119 18:0.923663031873871 19:0.871428571428571 20:1.55206741638 21:0.3492 22:0.4603 23:0.8413 30:0.426348 #T0902:Atome2_CBS_TS5
0.60606 1:0.47149 2:0.415423 3:0.662789792212944 4:0.332 5:0.707872620057596 6:0.364413 7:0.71930046380416 8:0.481083 9:0.513355 10:0.53358 11:0.499288 12:0.4241 13:0.826560536469585 14:0.744612091578704 15:0.822222222222222 16:0.676190476190476 17:0.759079313294087 18:0.92011328113508 19:0.907936507936508 20:1.61796200338 21:0.4286 22:0.4286 23:0.9048 30:0.515374 #T0902:BAKER-ROSETTASERVER_TS1
0.59524 1:0.50265 2:0.40624 3:0.671816685902592 4:0.323 5:0.715311438712143 6:0.368658 7:0.730670143832443 8:0.444863 9:0.492941 10:0.501549 11:0.488188 12:0.4164 13:0.831760389556536 14:0.748683188886324 15:0.815873015873016 16:0.676190476190476 17:0.75876700848224 18:0.918483641225218 19:0.906349206349206 20:1.59756739936 21:0.2222 22:0.5238 23:0.9048 30:0.505545 #T0902:BAKER-ROSETTASERVER_TS2
