0.14094 1:0.19463 2:0.13034 3:0.538769170430803 4:0.075 5:0.573334911632774 6:0.0910903 7:0.479945370097903 8:0.0317426 9:0.0139521 10:0.0210296 11:0.0126482 12:0.1060 13:0.748987681082478 14:0.757707639980982 15:0.5 16:0.548192771084337 17:0.764248887498725 18:0.889189720951104 19:0.75 20:1.24643786392 21:0.0606 22:0.0909 23:0 30:0.165322 #T0948:ACOMPMOD_TS1
0.15772 1:0.14223 2:0.13344 3:0.503748026270349 4:0.078 5:0.618792645319023 6:0.103313 7:0.480077170710492 8:0.015014 9:0.0350352 10:-0.0117685 11:-0.0218775 12:0.1089 13:0.732226220121767 14:0.799034487803094 15:0.391566265060241 16:0.5 17:0.806434476400781 18:0.902766067680619 19:0.692771084337349 20:1.20116494221 21:0.2121 22:0.0909 23:0 30:0.163217 #T0948:ACOMPMOD_TS2
0.1443 1:0.21144 2:0.1359 3:0.652064354095294 4:0.083 5:0.574277208274197 6:0.14031 7:0.529803636342606 8:-0.00334968 9:-0.0209182 10:-0.011022 11:-0.0194798 12:0.1060 13:0.779914494812191 14:0.704604469151154 15:0.493975903614458 16:0.572289156626506 17:0.71105261153855 18:0.882352798253466 19:0.737951807228916 20:1.28602636574 21:0.1515 22:0.1212 23:0 30:0.179554 #T0948:ACOMPMOD_TS3
0.15268 1:0.15689 2:0.135326 3:0.558833485269084 4:0.066 5:0.536693411280548 6:0.0657331 7:0.465619182166454 8:-0.103633 9:-0.0673131 10:-0.104541 11:-0.113745 12:0.1127 13:0.756035848871384 14:0.710236623633105 15:0.373493975903614 16:0.463855421686747 17:0.718372040637312 18:0.886355954096985 19:0.686746987951807 20:1.15109604633 21:0.0606 22:0 23:0.0303 30:0.162849 #T0948:ACOMPMOD_TS4
0.1594 1:0.19205 2:0.134054 3:0.585950822443679 4:0.072 5:0.647402058630049 6:0.166234 7:0.566484417670683 8:0.120341 9:0.0740664 10:0.0608751 11:0.0617037 12:0.1207 13:0.788148776622705 14:0.764583257140767 15:0.475903614457831 16:0.58433734939759 17:0.771689070816094 18:0.8923646677163 19:0.728915662650602 20:1.29991186944 21:0.0909 22:0.0303 23:0.0303 30:0.169802 #T0948:ACOMPMOD_TS5
0.18121 1:0.37286 2:0.191305 3:0.657843653020596 4:0.129 5:0.827223475561748 6:0.254248 7:0.795895455369867 8:0.354257 9:0.339553 10:0.318261 11:0.298995 12:0.1679 13:0.855638774639338 14:0.788574772336613 15:0.795180722891566 16:0.608433734939759 17:0.793449167497569 18:0.887680421233414 19:0.88855421686747 20:1.45622433034 21:0.1212 22:0.0909 23:0 30:0.241529 #T0948:Atome2_CBS_TS1
0.18121 1:0.37286 2:0.191305 3:0.657843653020596 4:0.129 5:0.827223475561748 6:0.254248 7:0.795895455369867 8:0.354257 9:0.339553 10:0.318261 11:0.298995 12:0.1679 13:0.855638774639338 14:0.788574772336613 15:0.795180722891566 16:0.608433734939759 17:0.793449167497569 18:0.887680421233414 19:0.88855421686747 20:1.45622433034 21:0.1212 22:0.0909 23:0 30:0.241529 #T0948:Atome2_CBS_TS2
0.18121 1:0.37286 2:0.191305 3:0.657843653020596 4:0.129 5:0.827223475561748 6:0.254248 7:0.795895455369867 8:0.354257 9:0.339553 10:0.318261 11:0.298995 12:0.1679 13:0.855638774639338 14:0.788574772336613 15:0.795180722891566 16:0.608433734939759 17:0.793449167497569 18:0.887680421233414 19:0.88855421686747 20:1.45622433034 21:0.1212 22:0.0909 23:0 30:0.241529 #T0948:Atome2_CBS_TS3
0.18121 1:0.37286 2:0.191305 3:0.657843653020596 4:0.129 5:0.827223475561748 6:0.254248 7:0.795895455369867 8:0.354257 9:0.339553 10:0.318261 11:0.298995 12:0.1679 13:0.855638774639338 14:0.788574772336613 15:0.795180722891566 16:0.608433734939759 17:0.793449167497569 18:0.887680421233414 19:0.88855421686747 20:1.45622433034 21:0.1212 22:0.0909 23:0 30:0.241529 #T0948:Atome2_CBS_TS4
0.18121 1:0.37286 2:0.191305 3:0.657843653020596 4:0.129 5:0.827223475561748 6:0.254248 7:0.795895455369867 8:0.354257 9:0.339553 10:0.318261 11:0.298995 12:0.1679 13:0.855638774639338 14:0.788574772336613 15:0.795180722891566 16:0.608433734939759 17:0.793449167497569 18:0.887680421233414 19:0.88855421686747 20:1.45622433034 21:0.1212 22:0.0909 23:0 30:0.241529 #T0948:Atome2_CBS_TS5
0.71477 1:0.74826 2:0.425519 3:0.778667479953462 4:0.347 5:0.937006311419366 6:0.511388 7:0.973062848305665 8:0.769793 9:0.773329 10:0.626005 11:0.712382 12:0.4177 13:0.928863810750655 14:0.796254982993819 15:0.831325301204819 16:0.789156626506024 17:0.802630618386728 18:0.892804047523973 19:0.91566265060241 20:1.56641650692 21:0.3636 22:0.0606 23:0.4242 30:0.502245 #T0948:BAKER-ROSETTASERVER_TS1
0.71477 1:0.73659 2:0.42764 3:0.789851099261172 4:0.351 5:0.914309111199743 6:0.480961 7:0.943405769529732 8:0.684181 9:0.68107 10:0.558009 11:0.643788 12:0.4231 13:0.908064894190335 14:0.793219471162638 15:0.813253012048193 16:0.753012048192771 17:0.798372048397222 18:0.892066789702583 19:0.906626506024096 20:1.57164212234 21:0.303 22:0.1212 23:0.3939 30:0.498844 #T0948:BAKER-ROSETTASERVER_TS2
0.7349 1:0.78486 2:0.423385 3:0.800656036534206 4:0.345 5:0.93973335360358 6:0.49594 7:0.975737085716137 8:0.662949 9:0.605701 10:0.567903 11:0.603619 12:0.4143 13:0.924374187370155 14:0.807702154116227 15:0.807228915662651 16:0.704819277108434 17:0.811145496101538 18:0.893786642694392 19:0.903614457831325 20:1.55066086046 21:0.3333 22:0.1515 23:0.4242 30:0.495091 #T0948:BAKER-ROSETTASERVER_TS3
