0.14167 1:0.17082 2:0.126244 3:0.591526945490501 4:0.057 5:0.49176635505609 6:0.0907134 7:0.418733921039784 8:-0.00846616 9:-0.00939283 10:-0.13752 11:-0.053226 12:0.1049 13:0.81117455970243 14:0.698663869761503 15:0.37984496124031 16:0.472868217054264 17:0.703025143628396 18:0.848679179405807 19:0.624031007751938 20:1.18579050718 21:0.0769 22:0.1154 23:0 30:0.164439 #T0895:ACOMPMOD_TS1
0.175 1:0.21276 2:0.153929 3:0.607057298195368 4:0.087 5:0.50091939360915 6:0.0711307 7:0.45027570720061 8:0.0641354 9:0.130807 10:0.0597479 11:0.0769187 12:0.1168 13:0.804081827576992 14:0.687993068539377 15:0.612403100775194 16:0.457364341085271 17:0.693425638318246 18:0.830635151494134 19:0.802325581395349 20:1.15742478394 21:0 22:0.0385 23:0.0385 30:0.192693 #T0895:ACOMPMOD_TS2
0.15 1:0.18946 2:0.131646 3:0.589675534191846 4:0.066 5:0.536095585994521 6:0.116231 7:0.456635590981079 8:-0.0175417 9:-0.0267898 10:-0.123243 11:-0.084737 12:0.1006 13:0.816058479544716 14:0.735418851748826 15:0.410852713178295 16:0.496124031007752 17:0.737064418550507 18:0.851314242170169 19:0.674418604651163 20:1.19245745982 21:0.0769 22:0.3077 23:0.0385 30:0.172821 #T0895:ACOMPMOD_TS3
0.16667 1:0.21539 2:0.148707 3:0.606730340428653 4:0.069 5:0.569720544335353 6:0.12402 7:0.489663954798223 8:0.0986491 9:0.148421 10:0.0867715 11:0.0829645 12:0.1243 13:0.808440212789476 14:0.742076702083998 15:0.558139534883721 16:0.534883720930233 17:0.747901990012001 18:0.870269156593162 19:0.779069767441861 20:1.23049106047 21:0.2692 22:0.2692 23:0.1538 30:0.207460 #T0895:ACOMPMOD_TS4
0.1375 1:0.21126 2:0.131048 3:0.605073333906349 4:0.072 5:0.528912821025549 6:0.074355 7:0.474339863537313 8:-0.0991527 9:-0.0416376 10:-0.0995246 11:-0.0926274 12:0.1037 13:0.808521666900977 14:0.712481189292717 15:0.441860465116279 16:0.51937984496124 17:0.719186298557687 18:0.851233125410149 19:0.697674418604651 20:1.10860182072 21:0.0385 22:0.1923 23:0.0385 30:0.171832 #T0895:ACOMPMOD_TS5
0.5625 1:0.33487 2:0.388555 3:0.672260660183558 4:0.299 5:0.721809589307258 6:0.301183 7:0.651405294597459 8:0.43708 9:0.383826 10:0.339215 11:0.347035 12:0.4020 13:0.836982420292484 14:0.785717542979616 15:0.674418604651163 16:0.674418604651163 17:0.786303538286092 18:0.883051114619352 19:0.825581395348837 20:1.36379401975 21:0.4231 22:0.3846 23:0.1538 30:0.426150 #T0895:Atome2_CBS_TS5
0.69375 1:0.64683 2:0.464584 3:0.704983173395786 4:0.372 5:0.870287130549834 6:0.479651 7:0.905396608199669 8:0.540084 9:0.46637 10:0.380712 11:0.483685 12:0.4739 13:0.942942199776135 14:0.792877012175658 15:0.798449612403101 16:0.697674418604651 17:0.797329590437038 18:0.881649871507541 19:0.89922480620155 20:1.53348442426 21:0.6154 22:0.9231 23:0.2692 30:0.520418 #T0895:BhageerathH-Plus_TS1
0.60833 1:0.59505 2:0.419369 3:0.695001970878447 4:0.315 5:0.837477447859385 6:0.398506 7:0.852835337286703 8:0.480249 9:0.373477 10:0.357167 11:0.382966 12:0.4308 13:0.935847106661959 14:0.794062656755894 15:0.775193798449612 16:0.666666666666667 17:0.798714498380874 18:0.882459002815247 19:0.887596899224806 20:1.46334786123 21:0.3462 22:0.8462 23:0.1923 30:0.470105 #T0895:BhageerathH-Plus_TS2
0.22917 1:0.27753 2:0.193561 3:0.624698331329191 4:0.111 5:0.766141418744626 6:0.207944 7:0.77943139522976 8:0.322896 9:0.166249 10:0.0935968 11:0.19843 12:0.1722 13:0.940059325207955 14:0.773085868028638 15:0.527131782945736 16:0.503875968992248 17:0.777419044114513 18:0.86216051949801 19:0.720930232558139 20:1.25897748297 21:0.0385 22:0 23:0.0385 30:0.226123 #T0895:BhageerathH-Plus_TS3
0.23333 1:0.28826 2:0.19699 3:0.617765941732982 4:0.111 5:0.766437118951922 6:0.219341 7:0.777840188737661 8:0.326003 9:0.176309 10:0.121083 11:0.211922 12:0.1884 13:0.933158047805729 14:0.770805782297414 15:0.503875968992248 16:0.534883720930233 17:0.774441166420418 18:0.860003018001631 19:0.709302325581395 20:1.24387013827 21:0.0385 22:0 23:0.0385 30:0.231861 #T0895:BhageerathH-Plus_TS4
0.225 1:0.29109 2:0.195533 3:0.626858248415789 4:0.109 5:0.75471585644584 6:0.202489 7:0.763083953666988 8:0.344937 9:0.204731 10:0.151299 11:0.236233 12:0.1764 13:0.933303677883867 14:0.769072917141685 15:0.534883720930233 16:0.558139534883721 17:0.773431413955368 18:0.859600044054884 19:0.724806201550388 20:1.24705838502 21:0.0385 22:0 23:0.0385 30:0.229414 #T0895:BhageerathH-Plus_TS5
0.24792 1:0.42624 2:0.239335 3:0.682625588545162 4:0.154 5:0.63808560225826 6:0.231626 7:0.64710496124031 8:0.338962 9:0.267275 10:0.316875 11:0.33166 12:0.2517 13:0.873698048857443 14:0.70454649094806 15:0.782945736434108 16:0.643410852713178 17:0.712557156185844 18:0.848965303148826 19:0.87984496124031 20:1.41790749102 21:0.1154 22:0.3846 23:0.1923 30:0.333228 #T0895:FALCON_TOPOX_TS1
0.26042 1:0.38968 2:0.234846 3:0.650930737579253 4:0.158 5:0.637105249955008 6:0.223894 7:0.626211007751938 8:0.309649 9:0.257695 10:0.276697 11:0.253859 12:0.2508 13:0.855454688869977 14:0.714533266450819 15:0.798449612403101 16:0.651162790697674 17:0.720535317000851 18:0.860589752347398 19:0.891472868217054 20:1.37934104185 21:0.1538 22:0.3462 23:0.1923 30:0.323098 #T0895:FALCON_TOPOX_TS2
0.25208 1:0.41424 2:0.232197 3:0.675862091040369 4:0.156 5:0.635140703640012 6:0.211625 7:0.628151015611046 8:0.271161 9:0.308055 10:0.323314 11:0.28339 12:0.2468 13:0.867701781366004 14:0.704364084089562 15:0.798449612403101 16:0.627906976744186 17:0.709819717507394 18:0.849498601201159 19:0.87984496124031 20:1.39360181827 21:0.2308 22:0.4231 23:0.1923 30:0.331552 #T0895:FALCON_TOPOX_TS3
0.25417 1:0.40543 2:0.236316 3:0.669377726785881 4:0.159 5:0.633579325121478 6:0.238442 7:0.629187884292502 8:0.296159 9:0.265636 10:0.318803 11:0.287429 12:0.2519 13:0.859994333627026 14:0.708194628118017 15:0.798449612403101 16:0.689922480620155 17:0.714766295370163 18:0.855533861921513 19:0.87984496124031 20:1.37664887024 21:0.2692 22:0.3846 23:0.1538 30:0.328858 #T0895:FALCON_TOPOX_TS4
0.25 1:0.39588 2:0.228731 3:0.675081459367001 4:0.154 5:0.627601237310617 6:0.21701 7:0.619244922361543 8:0.30734 9:0.307429 10:0.329849 11:0.288942 12:0.2370 13:0.85365475690938 14:0.699849514341739 15:0.782945736434108 16:0.635658914728682 17:0.705611900212475 18:0.850725611997801 19:0.887596899224806 20:1.36698983642 21:0.1923 22:0.4231 23:0.1923 30:0.322864 #T0895:FALCON_TOPOX_TS5
