0.09498 1:0.12293 2:0.0589784 3:0.466888592599144 4:0.030 5:0.565612050457507 6:0.13982 7:0.431376625445069 8:0.0164818 9:0.0340269 10:0.0460085 11:0.0329553 12:0.0571 13:0.5850701563519 14:0.757090200721911 15:0.5 16:0.485549132947977 17:0.763660618471096 18:0.932292993606688 19:0.732658959537572 20:1.40239835399 21:0.0435 22:0 23:0.029 30:0.091143 #T0886:ACOMPMOD_TS1
0.08406 1:0.13580 2:0.0637604 3:0.486800737490657 4:0.033 5:0.58396642946784 6:0.134101 7:0.445273020586381 8:0.0218035 9:-0.0124353 10:0.0181618 11:-0.0264367 12:0.0602 13:0.586614458578776 14:0.776933213651382 15:0.557803468208092 16:0.526011560693642 17:0.784254475530649 18:0.935991318556463 19:0.771676300578035 20:1.37414465882 21:0.1304 22:0.058 23:0 30:0.094234 #T0886:ACOMPMOD_TS2
0.07205 1:0.11076 2:0.0586873 3:0.328874761135675 4:0.031 5:0.568030946786515 6:0.122666 7:0.442869788764284 8:-0.0257683 9:-0.0143872 10:-0.0365062 11:0.0127846 12:0.0566 13:0.601141960504236 14:0.769083860124902 15:0.517341040462428 16:0.453757225433526 17:0.774078307991331 18:0.94078536783641 19:0.754335260115607 20:1.28444554665 21:0.058 22:0.029 23:0 30:0.082954 #T0886:ACOMPMOD_TS3
0.08624 1:0.12061 2:0.0597425 3:0.443713032698081 4:0.032 5:0.557600811584551 6:0.113128 7:0.426942584441011 8:-0.017327 9:0.0465801 10:0.0210139 11:-0.00896715 12:0.0591 13:0.566851823550685 14:0.757376673478352 15:0.526011560693642 16:0.5 17:0.768731646608451 18:0.94172036064921 19:0.761560693641618 20:1.33926657452 21:0.0725 22:0 23:0.029 30:0.089770 #T0886:ACOMPMOD_TS4
0.07533 1:0.13854 2:0.0590448 3:0.472620136607512 4:0.029 5:0.495010450884448 6:0.126725 7:0.392105239249532 8:0.0776061 9:0.119768 10:0.143254 11:0.074047 12:0.0602 13:0.573843475603021 14:0.70478027539581 15:0.465317919075145 16:0.540462427745665 17:0.712764873145534 18:0.925383327539728 19:0.722543352601156 20:1.37742564201 21:0.0145 22:0.0145 23:0.058 30:0.099404 #T0886:ACOMPMOD_TS5
0.11026 1:0.30150 2:0.0812216 3:0.590301898453974 4:0.049 5:0.638875731390315 6:0.281431 7:0.597750365844455 8:0.311647 9:0.349731 10:0.367055 11:0.307087 12:0.0674 13:0.738780430970175 14:0.743912453925632 15:0.702312138728324 16:0.621387283236994 17:0.758068100929326 18:0.932980951806865 19:0.84971098265896 20:1.46491731741 21:0.2464 22:0.2319 23:0.058 30:0.148302 #T0886:BhageerathH-Plus_TS1
0.11026 1:0.22295 2:0.0818993 3:0.586417337646389 4:0.050 5:0.626319838865998 6:0.244261 7:0.580958351846426 8:0.272904 9:0.287825 10:0.345163 11:0.276123 12:0.0688 13:0.716459090214426 14:0.743053035656309 15:0.716763005780347 16:0.572254335260116 17:0.75817412692921 18:0.933300687440143 19:0.856936416184971 20:1.4751533634 21:0.2174 22:0.2174 23:0.058 30:0.142020 #T0886:BhageerathH-Plus_TS2
0.12227 1:0.21653 2:0.0758381 3:0.554705650764203 4:0.046 5:0.619514371505326 6:0.24169 7:0.573779655421184 8:0.219258 9:0.147874 10:0.276546 11:0.176409 12:0.0593 13:0.709339729845464 14:0.748572410763736 15:0.606936416184971 16:0.560693641618497 17:0.760939911987178 18:0.913456962949419 19:0.796242774566474 20:1.57057286451 21:0.1014 22:0.1014 23:0.0145 30:0.125336 #T0886:BhageerathH-Plus_TS3
0.08952 1:0.20016 2:0.0632731 3:0.493267578263256 4:0.032 5:0.630911379231507 6:0.203445 7:0.561920225908562 8:0.239127 9:0.153933 10:0.313479 11:0.205848 12:0.0619 13:0.705552890762482 14:0.775443555317889 15:0.563583815028902 16:0.569364161849711 17:0.78070358831314 18:0.92370943296003 19:0.739884393063584 20:1.60418644203 21:0.0145 22:0.1304 23:0 30:0.110285 #T0886:BhageerathH-Plus_TS4
0.1059 1:0.22481 2:0.0779873 3:0.571988981175203 4:0.047 5:0.602052079098306 6:0.228801 7:0.555735191324152 8:0.240789 9:0.247331 10:0.290768 11:0.215151 12:0.0639 13:0.699496127139379 14:0.730562823475488 15:0.719653179190751 16:0.566473988439306 17:0.744167026671217 18:0.917910661398475 19:0.858381502890173 20:1.55660298694 21:0.2609 22:0.1594 23:0.029 30:0.139544 #T0886:BhageerathH-Plus_TS5
0.10699 1:0.16904 2:0.0943075 3:0.542338610501649 4:0.061 5:0.529473748440599 6:0.19274 7:0.464640170502473 8:0.213484 9:0.240814 10:0.303126 11:0.266946 12:0.0830 13:0.624868546682383 14:0.68220622218827 15:0.627167630057804 16:0.554913294797688 17:0.695984881026937 18:0.917819818632628 19:0.804913294797688 20:1.55161979537 21:0.1304 22:0.1014 23:0 30:0.150421 #T0886:FALCON_TOPOX_TS1
