0.12063 1:0.12570 2:0.0741877 3:0.45028164818936 4:0.043 5:0.633142100516969 6:0.124336 7:0.525647530342683 8:0.0149188 9:0.00236005 10:-0.0233621 11:0.00631182 12:0.0645 13:0.643892505856993 14:0.784019266162823 15:0.398148148148148 16:0.503086419753086 17:0.790158971284697 18:0.934607967112374 19:0.685185185185185 20:1.30655516389 21:0.2154 22:0.0769 23:0 30:0.106236 #T0894:ACOMPMOD_TS1
0.12762 1:0.15112 2:0.0666664 3:0.480350009669062 4:0.034 5:0.562980654424488 6:0.0992922 7:0.457227781096509 8:0.0576099 9:0.129901 10:0.0630901 11:0.133811 12:0.0630 13:0.612237215222254 14:0.751576144417903 15:0.515432098765432 16:0.558641975308642 17:0.758020006442211 18:0.931412418692745 19:0.753086419753086 20:1.29585077885 21:0.1385 22:0.0769 23:0 30:0.103093 #T0894:ACOMPMOD_TS2
0.12063 1:0.18369 2:0.0778877 3:0.503053278780681 4:0.041 5:0.614647064902392 6:0.160376 7:0.535430749037568 8:0.0254047 9:-0.016233 10:0.0119832 11:-0.0283358 12:0.0680 13:0.685255586369975 14:0.75882053491013 15:0.530864197530864 16:0.552469135802469 17:0.764448001005267 18:0.918910233184484 19:0.746913580246914 20:1.32323558528 21:0.0615 22:0 23:0 30:0.105984 #T0894:ACOMPMOD_TS3
0.11713 1:0.14866 2:0.0649021 3:0.508257102263391 4:0.032 5:0.520261945399828 6:0.100245 7:0.442529618203713 8:-0.0429089 9:-0.0302438 10:-0.00727513 11:-0.0554611 12:0.0609 13:0.620540184740935 14:0.719818302854681 15:0.444444444444444 16:0.521604938271605 17:0.727249156240496 18:0.909190165715465 19:0.700617283950617 20:1.2122794934 21:0.1846 22:0.0308 23:0 30:0.100178 #T0894:ACOMPMOD_TS4
0.12762 1:0.14334 2:0.066174 3:0.460889076312251 4:0.039 5:0.60881597971933 6:0.161421 7:0.539587496562743 8:0.0293963 9:0.0102048 10:0.0211766 11:0.0322832 12:0.0608 13:0.678301908864882 14:0.747640678231586 15:0.438271604938272 16:0.493827160493827 17:0.760607727162498 18:0.929566061360357 19:0.679012345679012 20:1.31594720235 21:0.1231 22:0.0308 23:0 30:0.099342 #T0894:ACOMPMOD_TS5
0.50874 1:0.50278 2:0.125165 3:0.661302701145031 4:0.086 5:0.751911614531915 6:0.31905 7:0.756908627325482 8:0.451659 9:0.430724 10:0.463086 11:0.356319 12:0.1088 13:0.849834116865331 14:0.76326506637428 15:0.842592592592593 16:0.657407407407407 17:0.775195982456887 18:0.92282237711873 19:0.91358024691358 20:1.65355361831 21:0.4615 22:0.5231 23:0.2615 30:0.256577 #T0894:BAKER-ROSETTASERVER_TS1
0.47902 1:0.42485 2:0.126908 3:0.669730006576346 4:0.086 5:0.7427903568225 6:0.286897 7:0.743935852629383 8:0.434405 9:0.426899 10:0.459173 11:0.337924 12:0.1126 13:0.839604656894094 14:0.766730626150292 15:0.824074074074074 16:0.666666666666667 17:0.779915579305764 18:0.924132912368153 19:0.904320987654321 20:1.67478029847 21:0.4769 22:0.5077 23:0.2154 30:0.249319 #T0894:BAKER-ROSETTASERVER_TS2
0.21154 1:0.44302 2:0.109253 3:0.669367546476362 4:0.067 5:0.756151258704606 6:0.309237 7:0.746640192391572 8:0.371194 9:0.375813 10:0.348408 11:0.299029 12:0.0840 13:0.844476099414457 14:0.774777773426792 15:0.746913580246914 16:0.641975308641975 17:0.786995667346823 18:0.92671631495905 19:0.861111111111111 20:1.59518094339 21:0.4923 22:0.4615 23:0.0308 30:0.202241 #T0894:BAKER-ROSETTASERVER_TS3
0.47378 1:0.44794 2:0.120158 3:0.644908797739481 4:0.079 5:0.760504227015063 6:0.32773 7:0.75435508427206 8:0.405178 9:0.394793 10:0.399987 11:0.316177 12:0.1082 13:0.852276506206385 14:0.774366605317774 15:0.796296296296296 16:0.654320987654321 17:0.786770908206279 18:0.926116652954238 19:0.887345679012346 20:1.5908549199 21:0.5231 22:0.5077 23:0.2615 30:0.242644 #T0894:BAKER-ROSETTASERVER_TS4
0.47727 1:0.41121 2:0.127364 3:0.650527059017256 4:0.085 5:0.747919377740093 6:0.30117 7:0.746443698322619 8:0.426006 9:0.429738 10:0.417967 11:0.333882 12:0.1116 13:0.850485717048762 14:0.769922073853624 15:0.811728395061728 16:0.635802469135803 17:0.781337249762084 18:0.929009597176 19:0.898148148148148 20:1.60735880816 21:0.5231 22:0.4923 23:0.2 30:0.242867 #T0894:BAKER-ROSETTASERVER_TS5
0.1486 1:0.28506 2:0.110377 3:0.544977397918747 4:0.069 5:0.760788684105071 6:0.248949 7:0.731950641131403 8:0.297841 9:0.292675 10:0.23021 11:0.241762 12:0.0942 13:0.812138714799552 14:0.799291224497788 15:0.694444444444444 16:0.555555555555556 17:0.807937077786891 18:0.934807366614839 19:0.83179012345679 20:1.42579800449 21:0.1692 22:0.1385 23:0.0154 30:0.157089 #T0894:BhageerathH-Plus_TS1
