0.15385 1:0.19349 2:0.096912 3:0.601795948012099 4:0.045 5:0.578703629721514 6:0.150777 7:0.459026836728698 8:0.0787561 9:0.0472577 10:0.0988721 11:0.0711089 12:0.0840 13:0.717861186896839 14:0.719321057070565 15:0.530054644808743 16:0.612021857923497 17:0.733518641661918 18:0.901732620239326 19:0.751366120218579 20:1.2956125535 21:0.1622 22:0.027 23:0 30:0.136034 #T0866:ACOMPMOD_TS1
0.14904 1:0.18734 2:0.09497 3:0.628165635648584 4:0.044 5:0.559364257690446 6:0.166629 7:0.462691456523381 8:0.0542753 9:0.110685 10:0.104883 11:0.0948788 12:0.0789 13:0.725363633801202 14:0.692121169524881 15:0.557377049180328 16:0.568306010928962 17:0.710208524660132 18:0.870603886685338 19:0.773224043715847 20:1.32910506101 21:0.1622 22:0.027 23:0 30:0.137010 #T0866:ACOMPMOD_TS2
0.14183 1:0.18050 2:0.0993493 3:0.601223291216288 4:0.047 5:0.579387236819231 6:0.166307 7:0.495382893027121 8:0.103769 9:0.132792 10:0.116689 11:0.104064 12:0.0831 13:0.750237595142543 14:0.728668822041046 15:0.568306010928962 16:0.540983606557377 17:0.738997831896949 18:0.894179280413431 19:0.784153005464481 20:1.28666617245 21:0.027 22:0 23:0.0541 30:0.135296 #T0866:ACOMPMOD_TS3
0.17548 1:0.16312 2:0.101667 3:0.618972987084255 4:0.050 5:0.612963429114453 6:0.163528 7:0.49743523750766 8:0.0778433 9:0.106555 10:0.0875763 11:0.0877889 12:0.0872 13:0.746599847791371 14:0.750808265392184 15:0.546448087431694 16:0.519125683060109 17:0.766059738318689 18:0.902674203029334 19:0.773224043715847 20:1.30482462159 21:0.0811 22:0.2703 23:0.1081 30:0.150607 #T0866:ACOMPMOD_TS4
0.16827 1:0.16930 2:0.099174 3:0.595002907850498 4:0.047 5:0.587494155895108 6:0.137409 7:0.509718072784199 8:0.0322506 9:0.0274163 10:0.09065 11:0.0472871 12:0.0844 13:0.765683563509196 14:0.722659544560023 15:0.546448087431694 16:0.502732240437158 17:0.731794368369191 18:0.896583628687209 19:0.770491803278688 20:1.29483466521 21:0.0541 22:0.0811 23:0.0811 30:0.142657 #T0866:ACOMPMOD_TS5
0.17548 1:0.29066 2:0.130879 3:0.619571464894126 4:0.080 5:0.655345404103764 6:0.207771 7:0.612927178153828 8:0.248593 9:0.252844 10:0.325165 11:0.260071 12:0.1049 13:0.806990516605417 14:0.757801518133258 15:0.699453551912568 16:0.573770491803279 17:0.763547026231879 18:0.901760583887547 19:0.822404371584699 20:1.40628553675 21:0.0811 22:0.027 23:0 30:0.179433 #T0866:Atome2_CBS_TS2
0.18029 1:0.25389 2:0.12947 3:0.618579239592271 4:0.079 5:0.678078386145685 6:0.214572 7:0.636070872470264 8:0.201896 9:0.194692 10:0.246019 11:0.218859 12:0.1015 13:0.81744878510105 14:0.75586870958673 15:0.66120218579235 16:0.601092896174863 17:0.763059519432341 18:0.90444766552879 19:0.770491803278688 20:1.3650686584 21:0.1622 22:0.0541 23:0 30:0.173930 #T0866:Atome2_CBS_TS3
0.17788 1:0.23742 2:0.134033 3:0.631867505301348 4:0.085 5:0.631602561422551 6:0.143018 7:0.553738431081229 8:0.177226 9:0.163931 10:0.236628 11:0.141462 12:0.1033 13:0.762456662820953 14:0.755130728141692 15:0.726775956284153 16:0.639344262295082 17:0.764311920443776 18:0.902121088300556 19:0.825136612021858 20:1.36502015965 21:0.1081 22:0.027 23:0 30:0.175095 #T0866:Atome2_CBS_TS4
0.17788 1:0.23742 2:0.134033 3:0.631867505301348 4:0.085 5:0.631602561422551 6:0.143018 7:0.553738431081229 8:0.177226 9:0.163931 10:0.236628 11:0.141462 12:0.1033 13:0.762456662820953 14:0.755130728141692 15:0.726775956284153 16:0.639344262295082 17:0.764311920443776 18:0.902121088300556 19:0.825136612021858 20:1.36502015965 21:0.1081 22:0.027 23:0 30:0.175095 #T0866:Atome2_CBS_TS5
0.77163 1:0.49336 2:0.198113 3:0.699375489829691 4:0.137 5:0.757680960724337 6:0.390125 7:0.750976341190098 8:0.517949 9:0.553381 10:0.576794 11:0.55128 12:0.1771 13:0.8765562749125 14:0.766305875737981 15:0.85792349726776 16:0.60655737704918 17:0.773656456073387 18:0.902485613442784 19:0.926229508196721 20:1.56788292262 21:0.9189 22:0.9459 23:0.8108 30:0.386839 #T0866:BAKER-ROSETTASERVER_TS1
0.79567 1:0.44737 2:0.196072 3:0.681383848303288 4:0.132 5:0.745319093333145 6:0.337953 7:0.725388146147583 8:0.49515 9:0.589074 10:0.558931 11:0.54489 12:0.1773 13:0.879342587021833 14:0.776848467809952 15:0.797814207650273 16:0.568306010928962 17:0.780498454117674 18:0.905988254069784 19:0.898907103825137 20:1.56833152065 21:0.9459 22:0.9459 23:0.7027 30:0.376834 #T0866:BAKER-ROSETTASERVER_TS2
