0.04444 1:0.11347 2:0.0438514 3:0.358580235400799 4:0.024 5:0.683567029340705 6:0.151122 7:0.553529087833452 8:0.00330698 9:-0.112829 10:-0.063819 11:-0.0612371 12:0.0535 13:0.535850841752407 14:0.793391350443963 15:0.341549295774648 16:0.515845070422535 17:0.802618464258812 18:0.955816872177904 19:0.654049295774648 20:1.26353752138 21:0.1404 22:0 23:0 30:0.061585 #T0920:ACOMPMOD_TS1
0.05509 1:0.12323 2:0.0506028 3:0.336267679707718 4:0.025 5:0.677189320154591 6:0.134293 7:0.518114514966141 8:0.0153172 9:-0.0605448 10:-0.0533584 11:-0.0520681 12:0.0545 13:0.517760545732657 14:0.805373945310774 15:0.359154929577465 16:0.544014084507042 17:0.810114381255017 18:0.955266447834187 19:0.669894366197183 20:1.26793234797 21:0.1316 22:0.1579 23:0 30:0.069447 #T0920:ACOMPMOD_TS2
0.04213 1:0.10276 2:0.0414417 3:0.330859288899439 4:0.024 5:0.729051176769344 6:0.163022 7:0.532712403452976 8:-0.0579087 9:-0.152871 10:-0.137603 11:-0.0971274 12:0.0490 13:0.482340692370994 14:0.825076202677033 15:0.338028169014085 16:0.535211267605634 17:0.831439987159253 18:0.957798006003713 19:0.641725352112676 20:1.27253676185 21:0.1316 22:0.0088 23:0 30:0.053082 #T0920:ACOMPMOD_TS3
0.04815 1:0.10946 2:0.0477764 3:0.342667478003784 4:0.028 5:0.697464026361523 6:0.137248 7:0.529320179301616 8:-0.0156185 9:-0.0785354 10:-0.107718 11:-0.0726454 12:0.0554 13:0.510118289343382 14:0.824844281486063 15:0.355633802816901 16:0.536971830985915 17:0.829619775234726 18:0.955485200873974 19:0.668133802816901 20:1.26046395075 21:0.0789 22:0.1491 23:0.1228 30:0.077322 #T0920:ACOMPMOD_TS4
0.04259 1:0.12019 2:0.0401347 3:0.340738040470148 4:0.021 5:0.626522915397588 6:0.127924 7:0.497315736651089 8:0.0119176 9:-0.113696 10:-0.0485661 11:-0.0804199 12:0.0445 13:0.490703877965661 14:0.772176083403278 15:0.366197183098592 16:0.524647887323944 17:0.780705502001664 18:0.937039903769756 19:0.658450704225352 20:1.25265125157 21:0.114 22:0.0439 23:0.0965 30:0.068042 #T0920:ACOMPMOD_TS5
0.42361 1:0.73213 2:0.355974 3:0.83185603413142 4:0.306 5:0.926481626273116 6:0.465591 7:0.908438175261245 8:0.747719 9:0.690369 10:0.7528 11:0.677718 12:0.3660 13:0.88050585344535 14:0.825827185581128 15:0.785211267605634 16:0.758802816901408 17:0.833432653674531 18:0.951945525447353 19:0.889084507042254 20:1.8877466323 21:0.8158 22:0.8246 23:0.9825 30:0.546051 #T0920:BAKER-ROSETTASERVER_TS1
0.43102 1:0.74501 2:0.361103 3:0.854155245464016 4:0.310 5:0.918436393857556 6:0.456465 7:0.901625626582073 8:0.739622 9:0.69744 10:0.760297 11:0.683296 12:0.3708 13:0.87693845978604 14:0.824932632415956 15:0.811619718309859 16:0.751760563380282 17:0.831432918758933 18:0.949315714502653 19:0.902288732394366 20:1.91411851049 21:0.8246 22:0.8158 23:0.9737 30:0.554894 #T0920:BAKER-ROSETTASERVER_TS2
0.44213 1:0.72039 2:0.356117 3:0.844740406660751 4:0.305 5:0.926151017569302 6:0.454295 7:0.909453592360616 8:0.70624 9:0.638841 10:0.726726 11:0.653548 12:0.3662 13:0.876912133229809 14:0.826920528338561 15:0.785211267605634 16:0.751760563380282 17:0.831968183848523 18:0.948202190708601 19:0.889964788732394 20:1.88253396856 21:0.7982 22:0.807 23:0.9561 30:0.540581 #T0920:BAKER-ROSETTASERVER_TS3
0.44259 1:0.72514 2:0.360911 3:0.832490283735642 4:0.311 5:0.939551285551875 6:0.45981 7:0.92749140170323 8:0.720404 9:0.672015 10:0.703699 11:0.656664 12:0.3702 13:0.875455222770321 14:0.831835048813889 15:0.804577464788732 16:0.753521126760563 17:0.837315348765319 18:0.950487838750695 19:0.897007042253521 20:1.90176251471 21:0.7982 22:0.8158 23:0.9649 30:0.544650 #T0920:BAKER-ROSETTASERVER_TS4
0.44583 1:0.69471 2:0.357503 3:0.79198073011549 4:0.310 5:0.939800995134608 6:0.465298 7:0.916178987567881 8:0.68734 9:0.638611 10:0.677589 11:0.643018 12:0.3665 13:0.872940193968022 14:0.83399964659628 15:0.783450704225352 16:0.732394366197183 17:0.840916932828165 18:0.953669834657898 19:0.887323943661972 20:1.88517751886 21:0.8158 22:0.7632 23:0.9737 30:0.535522 #T0920:BAKER-ROSETTASERVER_TS5
0.4088 1:0.68498 2:0.344834 3:0.787819644531355 4:0.290 5:0.928290540347632 6:0.42972 7:0.911407837143831 8:0.653802 9:0.616217 10:0.634069 11:0.598291 12:0.3526 13:0.828174878072594 14:0.826799045809957 15:0.801056338028169 16:0.735915492957746 17:0.833122538842574 18:0.949586074047592 19:0.897887323943662 20:1.93390426408 21:0.7281 22:0.7632 23:0.9649 30:0.522380 #T0920:BhageerathH-Plus_TS1
0.38796 1:0.66557 2:0.335804 3:0.771366048053513 4:0.282 5:0.929669660603345 6:0.430907 7:0.917185002650311 8:0.676374 9:0.66374 10:0.623422 11:0.625199 12:0.3439 13:0.829386597051426 14:0.829051994522242 15:0.801056338028169 16:0.746478873239437 17:0.834471913772811 18:0.950226571911275 19:0.894366197183099 20:1.86706178119 21:0.7368 22:0.7105 23:0.8947 30:0.504700 #T0920:BhageerathH-Plus_TS2
0.38611 1:0.69012 2:0.307342 3:0.793735121038059 4:0.245 5:0.926924208526092 6:0.421457 7:0.90631585632072 8:0.669949 9:0.63156 10:0.631073 11:0.616841 12:0.3181 13:0.831569027881741 14:0.834430357379511 15:0.797535211267606 16:0.709507042253521 17:0.84078899317442 18:0.948286477592215 19:0.89612676056338 20:1.91349309337 21:0.6754 22:0.6754 23:0.9035 30:0.490616 #T0920:BhageerathH-Plus_TS3
0.4213 1:0.66976 2:0.338657 3:0.7742460750311 4:0.286 5:0.921168700225861 6:0.429933 7:0.899975520975314 8:0.648952 9:0.589878 10:0.616461 11:0.579829 12:0.3467 13:0.833088645524834 14:0.830255775942042 15:0.801056338028169 16:0.742957746478873 17:0.835892404963563 18:0.949237832908399 19:0.897887323943662 20:1.83600251627 21:0.7018 22:0.7456 23:0.8596 30:0.500738 #T0920:BhageerathH-Plus_TS4
