0.13274 1:0.21453 2:0.115224 3:0.609119858470535 4:0.050 5:0.462851260675334 6:0.113535 7:0.400265400829262 8:0.02133 9:0.0289677 10:0.01071 11:0.0752831 12:0.0992 13:0.786647937542132 14:0.70197898851698 15:0.571428571428571 16:0.511278195488722 17:0.720004871222742 18:0.8734684858917 19:0.763157894736842 20:1.21871584235 21:0 22:0.037 23:0.1481 30:0.171179 #T0859:ACOMPMOD_TS1
0.13717 1:0.19916 2:0.127183 3:0.573976369217792 4:0.060 5:0.532916006245192 6:0.127352 7:0.435858393044824 8:0.0547673 9:0.0173296 10:0.0783279 11:0.00609087 12:0.1095 13:0.77877776487991 14:0.766625946738334 15:0.518796992481203 16:0.556390977443609 17:0.772996916771928 18:0.888579963370434 19:0.75187969924812 20:1.30924411598 21:0.037 22:0 23:0 30:0.162426 #T0859:ACOMPMOD_TS2
0.18363 1:0.24239 2:0.140491 3:0.637371811515695 4:0.074 5:0.502397071968399 6:0.134411 7:0.47248315246642 8:0.105555 9:0.0488681 10:0.0653282 11:0.101698 12:0.1164 13:0.804174010464313 14:0.693378939653066 15:0.533834586466165 16:0.593984962406015 17:0.710550465520592 18:0.875365313717628 19:0.766917293233083 20:1.28471631518 21:0.2222 22:0.037 23:0 30:0.193324 #T0859:ACOMPMOD_TS3
0.15265 1:0.23593 2:0.138807 3:0.612975156884032 4:0.065 5:0.470494685509992 6:0.139708 7:0.405874265444718 8:0.0481709 9:0.120647 10:0.146024 11:0.111138 12:0.1202 13:0.796230248956071 14:0.7100415343269 15:0.571428571428571 16:0.556390977443609 17:0.727757736698916 18:0.877944924738426 19:0.781954887218045 20:1.17280031697 21:0 22:0.1852 23:0.037 30:0.184469 #T0859:ACOMPMOD_TS4
0.13274 1:0.20548 2:0.129883 3:0.605394711383091 4:0.059 5:0.50436988725037 6:0.119841 7:0.404253569580634 8:-0.0774422 9:-0.123823 10:-0.0770118 11:-0.0874228 12:0.1117 13:0.774512487207149 14:0.735890544832641 15:0.548872180451128 16:0.518796992481203 17:0.75160509175076 18:0.885792679389396 19:0.744360902255639 20:1.25498568577 21:0.1111 22:0.037 23:0.1852 30:0.185254 #T0859:ACOMPMOD_TS5
0.11947 1:0.29571 2:0.154836 3:0.618354588407473 4:0.090 5:0.52867503788491 6:0.182828 7:0.515783085305429 8:0.159376 9:0.179778 10:0.152373 11:0.148544 12:0.1293 13:0.82352883543255 14:0.692352797459076 15:0.571428571428571 16:0.609022556390977 17:0.706366774877504 18:0.869091732295749 19:0.75187969924812 20:1.3916085108 21:0 22:0 23:0.037 30:0.210341 #T0859:Atome2_CBS_TS1
0.13053 1:0.31352 2:0.1604 3:0.624238837926266 4:0.094 5:0.531203750897019 6:0.186593 7:0.502872334176455 8:0.145772 9:0.0901816 10:0.147159 11:0.124171 12:0.1372 13:0.824983253478963 14:0.707305155142927 15:0.56390977443609 16:0.609022556390977 17:0.718829466429771 18:0.871958531077952 19:0.740601503759398 20:1.38495476157 21:0 22:0 23:0.037 30:0.217223 #T0859:Atome2_CBS_TS2
0.13053 1:0.31352 2:0.1604 3:0.624238837926266 4:0.094 5:0.531203750897019 6:0.186593 7:0.502872334176455 8:0.145772 9:0.0901816 10:0.147159 11:0.124171 12:0.1372 13:0.824983253478963 14:0.707305155142927 15:0.56390977443609 16:0.609022556390977 17:0.718829466429771 18:0.871958531077952 19:0.740601503759398 20:1.38495476157 21:0 22:0 23:0.037 30:0.217223 #T0859:Atome2_CBS_TS3
0.13053 1:0.31352 2:0.1604 3:0.624238837926266 4:0.094 5:0.531203750897019 6:0.186593 7:0.502872334176455 8:0.145772 9:0.0901816 10:0.147159 11:0.124171 12:0.1372 13:0.824983253478963 14:0.707305155142927 15:0.56390977443609 16:0.609022556390977 17:0.718829466429771 18:0.871958531077952 19:0.740601503759398 20:1.38495476157 21:0 22:0 23:0.037 30:0.217223 #T0859:Atome2_CBS_TS4
0.13053 1:0.31352 2:0.1604 3:0.624238837926266 4:0.094 5:0.531203750897019 6:0.186593 7:0.502872334176455 8:0.145772 9:0.0901816 10:0.147159 11:0.124171 12:0.1372 13:0.824983253478963 14:0.707305155142927 15:0.56390977443609 16:0.609022556390977 17:0.718829466429771 18:0.871958531077952 19:0.740601503759398 20:1.38495476157 21:0 22:0 23:0.037 30:0.217223 #T0859:Atome2_CBS_TS5
0.19912 1:0.46722 2:0.14966 3:0.666614784683191 4:0.089 5:0.614467649131427 6:0.261713 7:0.626187387997644 8:0.38706 9:0.256563 10:0.33839 11:0.337981 12:0.1142 13:0.891992021307752 14:0.732225751282678 15:0.766917293233083 16:0.669172932330827 17:0.751006590681954 18:0.867876487894005 19:0.879699248120301 20:1.37961514998 21:0 22:0.2593 23:0 30:0.218753 #T0859:BAKER-ROSETTASERVER_TS1
