0.06917 1:0.14522 2:0.0641365 3:0.493901228222973 4:0.033 5:0.546505785485688 6:0.129966 7:0.427868944972189 8:0.000544865 9:0.0336597 10:-0.0275212 11:0.00282157 12:0.0706 13:0.681421709862252 14:0.718504795117698 15:0.555956678700361 16:0.469314079422383 17:0.726461255380301 18:0.916437567362129 19:0.776173285198556 20:1.29201845051 21:0.1091 22:0 23:0 30:0.104109 #T0944:ACOMPMOD_TS1
0.07806 1:0.15340 2:0.0733493 3:0.488213140277088 4:0.042 5:0.627615907586815 6:0.112486 7:0.46937235028587 8:0.10979 9:0.237724 10:0.117248 11:0.160608 12:0.0802 13:0.64600260985215 14:0.768003487358326 15:0.660649819494585 16:0.527075812274368 17:0.775789032470358 18:0.927798683664773 19:0.828519855595668 20:1.28662324309 21:0.0545 22:0.0182 23:0 30:0.106299 #T0944:ACOMPMOD_TS2
0.07708 1:0.14966 2:0.0692811 3:0.491310360621071 4:0.040 5:0.569075703660706 6:0.120226 7:0.444656264868822 8:-0.0204894 9:0.0907803 10:-0.0246922 11:0.0685398 12:0.0705 13:0.671068294470804 14:0.738949433304272 15:0.595667870036101 16:0.501805054151625 17:0.749282639725729 18:0.919248613563604 19:0.792418772563177 20:1.25196556705 21:0.0364 22:0.0182 23:0 30:0.104091 #T0944:ACOMPMOD_TS3
0.08597 1:0.17891 2:0.0747554 3:0.541941576950047 4:0.040 5:0.588071668674007 6:0.130224 7:0.45332657608123 8:0.124663 9:0.191743 10:0.101339 11:0.135019 12:0.0828 13:0.644408813385553 14:0.743112467306016 15:0.628158844765343 16:0.581227436823105 17:0.748604793920159 18:0.924185970301561 19:0.812274368231047 20:1.31701778895 21:0.0182 22:0.2 23:0.0364 30:0.119745 #T0944:ACOMPMOD_TS4
0.07905 1:0.16690 2:0.0685203 3:0.526857381692314 4:0.033 5:0.601459448286673 6:0.160667 7:0.471906266976105 8:0.109516 9:0.121831 10:0.0833438 11:0.0835157 12:0.0717 13:0.668803250042371 14:0.738993025283348 15:0.541516245487365 16:0.552346570397112 17:0.747103254867643 18:0.920329976101664 19:0.74187725631769 20:1.35721524095 21:0.1273 22:0.1273 23:0 30:0.109276 #T0944:ACOMPMOD_TS5
0.66798 1:0.74891 2:0.507021 3:0.720765781775553 4:0.428 5:0.90326675467405 6:0.498262 7:0.859081208637642 8:0.664722 9:0.702047 10:0.716207 11:0.715198 12:0.5162 13:0.916778276946557 14:0.825980819529207 15:0.747292418772563 16:0.732851985559567 17:0.831250784444145 18:0.931766744543935 19:0.871841155234657 20:1.70139628868 21:0.8364 22:0.8182 23:0.8727 30:0.605187 #T0944:BAKER-ROSETTASERVER_TS1
0.73715 1:0.73332 2:0.529907 3:0.702933079133671 4:0.455 5:0.849043728655196 6:0.460459 7:0.802120722021661 8:0.679238 9:0.707842 10:0.768317 11:0.747954 12:0.5311 13:0.906584408178873 14:0.804141238012206 15:0.76173285198556 16:0.754512635379061 17:0.80975181334798 18:0.9299451320191 19:0.877256317689531 20:1.67818569199 21:0.8545 22:0.8909 23:0.8364 30:0.621698 #T0944:BAKER-ROSETTASERVER_TS2
0.73419 1:0.72048 2:0.525234 3:0.723919459568131 4:0.449 5:0.877208665734392 6:0.470307 7:0.836499998086809 8:0.678731 9:0.676274 10:0.706194 11:0.706089 12:0.5261 13:0.900648873029775 14:0.811965998256321 15:0.743682310469314 16:0.71841155234657 17:0.815694785495856 18:0.930048834565629 19:0.870036101083033 20:1.67770275398 21:0.8182 22:0.9273 23:0.7818 30:0.609678 #T0944:BAKER-ROSETTASERVER_TS3
0.73715 1:0.71334 2:0.527994 3:0.743557830202636 4:0.452 5:0.860290754847882 6:0.449946 7:0.825831607745928 8:0.666128 9:0.680686 10:0.697899 11:0.70612 12:0.5287 13:0.909223648299463 14:0.801482127288579 15:0.72202166064982 16:0.714801444043321 17:0.806883473162221 18:0.929744384540881 19:0.86101083032491 20:1.68219227746 21:0.7273 22:0.9273 23:0.8364 30:0.616493 #T0944:BAKER-ROSETTASERVER_TS4
0.74012 1:0.75506 2:0.533767 3:0.721805833836378 4:0.459 5:0.855618267861965 6:0.454984 7:0.816886053280984 8:0.65898 9:0.656608 10:0.678189 11:0.665559 12:0.5340 13:0.907336973990811 14:0.800544899738448 15:0.754512635379061 16:0.736462093862816 17:0.805795894698083 18:0.928957883622496 19:0.875451263537906 20:1.65800578389 21:0.8364 22:0.9273 23:0.8727 30:0.618934 #T0944:BAKER-ROSETTASERVER_TS5
0.66996 1:0.68481 2:0.534311 3:0.685290038233161 4:0.458 5:0.866131196348917 6:0.44294 7:0.822761122405408 8:0.659142 9:0.686593 10:0.634797 11:0.659809 12:0.5325 13:0.884458105026929 14:0.803814298169137 15:0.747292418772563 16:0.72202166064982 17:0.809541478322375 18:0.929454028743459 19:0.871841155234657 20:1.67871794313 21:0.7091 22:0.8182 23:0.9091 30:0.609578 #T0944:BhageerathH-Plus_TS1
