0.24188 1:0.27587 2:0.180468 3:0.605332175010762 4:0.098 5:0.641736600941023 6:0.148599 7:0.584019193977731 8:0.106844 9:0.0773178 10:0.0471302 11:0.0773584 12:0.2112 13:0.805777723419288 14:0.748159891292039 15:0.484472049689441 16:0.627329192546584 17:0.755370990219012 18:0.886179127142352 19:0.736024844720497 20:1.26647002904 21:0.1562 22:0.0312 23:0.0625 30:0.236440 #T0915:ACOMPMOD_TS1
0.18344 1:0.24510 2:0.157478 3:0.617849872078169 4:0.088 5:0.574005296246055 6:0.150397 7:0.521485781931286 8:0.112566 9:-0.0148681 10:0.0593218 11:0.0407723 12:0.1701 13:0.780350484222954 14:0.714981315819273 15:0.503105590062112 16:0.596273291925466 17:0.722006561185838 18:0.874546775296362 19:0.745341614906832 20:1.20603104078 21:0.0625 22:0.125 23:0.0312 30:0.207845 #T0915:ACOMPMOD_TS2
0.13799 1:0.22140 2:0.129087 3:0.610079355056088 4:0.068 5:0.614973346106397 6:0.184761 7:0.568819774021811 8:0.0315471 9:0.00135813 10:-0.019967 11:0.0335021 12:0.1171 13:0.811398469853444 14:0.720152493111388 15:0.447204968944099 16:0.565217391304348 17:0.730894795557421 18:0.886891074893543 19:0.720496894409938 20:1.22908946547 21:0.0938 22:0 23:0 30:0.165525 #T0915:ACOMPMOD_TS3
0.1737 1:0.20973 2:0.13725 3:0.577810631148156 4:0.070 5:0.586570229567995 6:0.113831 7:0.530383913520527 8:-0.0432928 9:-0.141327 10:-0.114456 11:-0.0934516 12:0.1287 13:0.786483806504892 14:0.731664968104782 15:0.478260869565217 16:0.559006211180124 17:0.741373828429735 18:0.881584229376395 19:0.729813664596273 20:1.22851722101 21:0.0625 22:0.125 23:0.0312 30:0.176452 #T0915:ACOMPMOD_TS4
0.14935 1:0.23423 2:0.143369 3:0.582056999380968 4:0.080 5:0.526344667170468 6:0.121942 7:0.469595550991785 8:0.0221026 9:-0.00755202 10:-0.00230053 11:-0.00836049 12:0.1035 13:0.795698850823346 14:0.68448269354169 15:0.521739130434783 16:0.583850931677019 17:0.698239010016872 18:0.849748576289218 19:0.751552795031056 20:1.20642799387 21:0.125 22:0.0312 23:0.0625 30:0.186359 #T0915:ACOMPMOD_TS5
0.19481 1:0.29748 2:0.179781 3:0.614262623042002 4:0.103 5:0.679131522112976 6:0.156927 7:0.636123305044318 8:0.0958461 9:0.07186 10:0.0811869 11:0.0588618 12:0.1920 13:0.828107775364216 14:0.762503302759219 15:0.751552795031056 16:0.559006211180124 17:0.771995264091772 18:0.884445150576695 19:0.875776397515528 20:1.34440036887 21:0.0625 22:0.1875 23:0 30:0.229500 #T0915:Atome2_CBS_TS1
0.19481 1:0.29311 2:0.185955 3:0.623103709988296 4:0.106 5:0.667248605929194 6:0.167966 7:0.626080395235233 8:0.146205 9:0.0890401 10:0.114688 11:0.0927243 12:0.2026 13:0.819789107030406 14:0.760729249235647 15:0.732919254658385 16:0.552795031055901 17:0.769000017537716 18:0.885090494121248 19:0.863354037267081 20:1.35074733495 21:0.0312 22:0.1562 23:0 30:0.235059 #T0915:Atome2_CBS_TS3
0.19481 1:0.29311 2:0.185955 3:0.623103709988296 4:0.107 5:0.667248605929194 6:0.167966 7:0.626080395235233 8:0.146205 9:0.0890401 10:0.114688 11:0.0927243 12:0.2026 13:0.819789107030406 14:0.760729249235647 15:0.732919254658385 16:0.552795031055901 17:0.769000017537716 18:0.885090494121248 19:0.863354037267081 20:1.35074733495 21:0.0312 22:0.1562 23:0 30:0.235431 #T0915:Atome2_CBS_TS4
0.19481 1:0.29311 2:0.185955 3:0.623103709988296 4:0.107 5:0.667248605929194 6:0.167966 7:0.626080395235233 8:0.146205 9:0.0890401 10:0.114688 11:0.0927243 12:0.2026 13:0.819789107030406 14:0.760729249235647 15:0.732919254658385 16:0.552795031055901 17:0.769000017537716 18:0.885090494121248 19:0.863354037267081 20:1.35074733495 21:0.0312 22:0.1562 23:0 30:0.235431 #T0915:Atome2_CBS_TS5
0.49188 1:0.61866 2:0.289704 3:0.719221253870574 4:0.177 5:0.899805417478891 6:0.452985 7:0.938032207974354 8:0.588452 9:0.48193 10:0.453598 11:0.476267 12:0.3303 13:0.944805861013204 14:0.789982259464764 15:0.875776397515528 16:0.745341614906832 17:0.79609949844495 18:0.893165018634969 19:0.928571428571429 20:1.50955099924 21:0.5625 22:0.5 23:0.2812 30:0.396075 #T0915:BAKER-ROSETTASERVER_TS1
0.4513 1:0.56285 2:0.295445 3:0.684763879340079 4:0.185 5:0.858192398300604 6:0.41151 7:0.889304337855759 8:0.541572 9:0.43125 10:0.465105 11:0.454672 12:0.3280 13:0.93742652759429 14:0.777941342996263 15:0.826086956521739 16:0.757763975155279 17:0.786471449771784 18:0.889748204288742 19:0.903726708074534 20:1.45422481228 21:0.3438 22:0.375 23:0.0938 30:0.373032 #T0915:BAKER-ROSETTASERVER_TS2
