0.0976 1:0.14824 2:0.0849458 3:0.65773276562696 4:0.047 5:0.678703440632745 6:0.211921 7:0.554448234684196 8:0.0303056 9:-0.0911962 10:-0.072438 11:-0.0109699 12:0.0843 13:0.677684709148881 14:0.772436257441312 15:0.541176470588235 16:0.588235294117647 17:0.784713675495872 18:0.934605584097618 19:0.763235294117647 20:1.35441736928 21:0.0588 22:0 23:0.0735 30:0.119411 #T0909:ACOMPMOD_TS1
0.12913 1:0.15227 2:0.108759 3:0.557428293564677 4:0.060 5:0.689996763074705 6:0.169524 7:0.539236775865185 8:0.095647 9:-0.0838397 10:-0.0650459 11:-0.0374023 12:0.0994 13:0.63122480892157 14:0.794582350518552 15:0.547058823529412 16:0.591176470588235 17:0.8046410752214 18:0.931018738491342 19:0.773529411764706 20:1.345492564 21:0.0735 22:0.3529 23:0.2206 30:0.157664 #T0909:ACOMPMOD_TS2
0.06832 1:0.15606 2:0.0695908 3:0.674116180490764 4:0.033 5:0.630813518448738 6:0.211567 7:0.54640657296467 8:-0.0171269 9:-0.137058 10:-0.0905908 11:-0.0908349 12:0.0752 13:0.680728920349662 14:0.725336029053877 15:0.544117647058823 16:0.567647058823529 17:0.741292131610195 18:0.919252284388165 19:0.754411764705882 20:1.42018580082 21:0.0735 22:0.1324 23:0.0294 30:0.109778 #T0909:ACOMPMOD_TS3
0.08483 1:0.14916 2:0.074068 3:0.580008883298883 4:0.033 5:0.710056562212331 6:0.20558 7:0.563839982809253 8:0.100076 9:-0.00419505 10:0.0216475 11:0.0178113 12:0.0903 13:0.654421196356924 14:0.800947246246584 15:0.582352941176471 16:0.608823529411765 17:0.805234070978771 18:0.936150705800221 19:0.785294117647059 20:1.33099456196 21:0.0294 22:0.0735 23:0.1176 30:0.109416 #T0909:ACOMPMOD_TS4
0.11411 1:0.14318 2:0.0987346 3:0.570432532461842 4:0.056 5:0.705287183020586 6:0.200654 7:0.560559802295112 8:0.0346949 9:-0.0773481 10:-0.0448778 11:-0.0446694 12:0.0958 13:0.651983859402889 14:0.78840465760605 15:0.538235294117647 16:0.585294117647059 17:0.799232877695687 18:0.933070350727334 19:0.769117647058824 20:1.39255657299 21:0.0735 22:0.0588 23:0.0147 30:0.124756 #T0909:ACOMPMOD_TS5
0.19144 1:0.20949 2:0.152256 3:0.630559750923983 4:0.108 5:0.74188113385767 6:0.260856 7:0.58388025070028 8:0.19527 9:0.126549 10:0.130092 11:0.154665 12:0.1744 13:0.626451357000107 14:0.808304316896926 15:0.614705882352941 16:0.667647058823529 17:0.815379031915825 18:0.937671753299474 19:0.795588235294118 20:1.52650550891 21:0.1029 22:0.1176 23:0.0294 30:0.203931 #T0909:Atome2_CBS_TS1
0.47297 1:0.56964 2:0.299626 3:0.736065506167621 4:0.237 5:0.86262972644277 6:0.445248 7:0.824806258200054 8:0.46096 9:0.383846 10:0.47497 11:0.512689 12:0.3082 13:0.850804970327541 14:0.800497959489311 15:0.691176470588235 16:0.720588235294118 17:0.812182215526725 18:0.935475118190836 19:0.838235294117647 20:1.78262026998 21:0.2206 22:0.8676 23:0.4559 30:0.430323 #T0909:BAKER-ROSETTASERVER_TS1
0.48724 1:0.52470 2:0.319688 3:0.777037789244164 4:0.256 5:0.843310168428506 6:0.419679 7:0.796781552837264 8:0.483428 9:0.401956 10:0.508633 11:0.536781 12:0.3267 13:0.844792216509787 14:0.80203302257666 15:0.685294117647059 16:0.691176470588235 17:0.813259668731118 18:0.936262031114426 19:0.833823529411765 20:1.70170160617 21:0.2794 22:0.8676 23:0.4559 30:0.440165 #T0909:BAKER-ROSETTASERVER_TS2
0.46847 1:0.52770 2:0.315511 3:0.798804448866048 4:0.253 5:0.818699237570178 6:0.433493 7:0.784911381381585 8:0.443143 9:0.338809 10:0.455457 11:0.513775 12:0.3228 13:0.828491662725595 14:0.780860384140177 15:0.65 16:0.702941176470588 17:0.792333809918046 18:0.934046673968249 19:0.823529411764706 20:1.72975081218 21:0.2059 22:0.8676 23:0.4559 30:0.437844 #T0909:BAKER-ROSETTASERVER_TS3
0.46847 1:0.56472 2:0.311063 3:0.780988022151545 4:0.247 5:0.854526398171564 6:0.437114 7:0.821070048477456 8:0.446052 9:0.352457 10:0.469264 11:0.506257 12:0.3154 13:0.859915177958474 14:0.802575910741698 15:0.655882352941176 16:0.682352941176471 17:0.812546635198211 18:0.9357068414234 19:0.823529411764706 20:1.75579598322 21:0.1765 22:0.8529 23:0.4706 30:0.436321 #T0909:BAKER-ROSETTASERVER_TS4
0.43844 1:0.29809 2:0.296569 3:0.775027448878075 4:0.238 5:0.787468504880886 6:0.400602 7:0.753122052746905 8:0.386125 9:0.252179 10:0.351777 11:0.396679 12:0.2997 13:0.81338922027796 14:0.772660900819948 15:0.682352941176471 16:0.617647058823529 17:0.785667486425146 18:0.929009958826002 19:0.838235294117647 20:1.7545848245 21:0.2206 22:0.8676 23:0.4265 30:0.407308 #T0909:BAKER-ROSETTASERVER_TS5
