0.12148 1:0.23157 2:0.10981 3:0.636510556145486 4:0.053 5:0.496735650939169 6:0.108756 7:0.43908987992471 8:-0.0700443 9:-0.0392646 10:-0.0612758 11:-0.0206539 12:0.0918 13:0.796437403028139 14:0.691966807142547 15:0.535211267605634 16:0.507042253521127 17:0.701053818511693 18:0.862771857293023 19:0.757042253521127 20:1.16505692043 21:0 22:0 23:0 30:0.149673 #T0877:ACOMPMOD_TS1
0.11796 1:0.20329 2:0.112589 3:0.607773555606594 4:0.047 5:0.570262103774842 6:0.0962081 7:0.48667435137708 8:-0.066776 9:-0.112686 10:-0.116495 11:-0.117975 12:0.1045 13:0.795966284676928 14:0.74775166181518 15:0.549295774647887 16:0.528169014084507 17:0.757074420250189 18:0.893568396114553 19:0.77112676056338 20:1.17941830913 21:0.1429 22:0 23:0 30:0.146757 #T0877:ACOMPMOD_TS2
0.13204 1:0.23666 2:0.119247 3:0.656703687252606 4:0.059 5:0.630533596030179 6:0.2124 7:0.563687061887454 8:0.0934018 9:0.0732888 10:0.0699302 11:0.0961974 12:0.1170 13:0.810867444046844 14:0.776599904418473 15:0.5 16:0.514084507042254 17:0.780653644031436 18:0.894926770194468 19:0.697183098591549 20:1.34427547083 21:0.1429 22:0.0714 23:0.2143 30:0.187419 #T0877:ACOMPMOD_TS3
0.1338 1:0.24033 2:0.125105 3:0.635157240156311 4:0.058 5:0.619169469802478 6:0.11667 7:0.514620823056619 8:0.0572116 9:-0.0341279 10:-0.0236599 11:0.0412638 12:0.1163 13:0.79508812007027 14:0.780162488595386 15:0.570422535211268 16:0.584507042253521 17:0.784541451679348 18:0.898383303149287 19:0.785211267605634 20:1.24475923969 21:0.2857 22:0.0714 23:0.0714 30:0.178772 #T0877:ACOMPMOD_TS4
0.12148 1:0.21594 2:0.120942 3:0.61385580315186 4:0.049 5:0.466192841970136 6:0.0847838 7:0.403099645182926 8:-0.0883193 9:-0.057193 10:-0.0556598 11:-0.0609641 12:0.1001 13:0.779362817664635 14:0.670460963635574 15:0.570422535211268 16:0.471830985915493 17:0.676225635487008 18:0.86197652910876 19:0.785211267605634 20:1.18327936192 21:0.3214 22:0.1071 23:0 30:0.171399 #T0877:ACOMPMOD_TS5
0.67077 1:0.93126 2:0.587641 3:0.749207336807032 4:0.489 5:0.825354440858392 6:0.481507 7:0.844598895902296 8:0.686493 9:0.657277 10:0.720344 11:0.763448 12:0.5865 13:0.942464095546989 14:0.788677933701177 15:0.71830985915493 16:0.774647887323944 17:0.794497670244159 18:0.894900958434813 19:0.859154929577465 20:1.51212691168 21:0.6071 22:0.3929 23:0.5 30:0.621126 #T0877:BAKER-ROSETTASERVER_TS1
0.69014 1:0.93379 2:0.546436 3:0.763849541959628 4:0.442 5:0.851011523379313 6:0.505915 7:0.88033303146838 8:0.660562 9:0.599062 10:0.648455 11:0.722358 12:0.5570 13:0.941419992587738 14:0.796672025024981 15:0.746478873239437 16:0.73943661971831 17:0.803479373967797 18:0.894836517579506 19:0.873239436619718 20:1.54385292593 21:0.6786 22:0.4643 23:0.5 30:0.600246 #T0877:BAKER-ROSETTASERVER_TS2
0.6831 1:0.93350 2:0.579186 3:0.738417870659305 4:0.482 5:0.848456377629492 6:0.50277 7:0.877872134527596 8:0.708693 9:0.677192 10:0.664458 11:0.743008 12:0.5839 13:0.938748437457469 14:0.791892948690099 15:0.732394366197183 16:0.732394366197183 17:0.796799158645934 18:0.894901176852779 19:0.866197183098592 20:1.55640412623 21:0.6071 22:0.3929 23:0.4643 30:0.619066 #T0877:BAKER-ROSETTASERVER_TS3
0.66021 1:0.92722 2:0.556611 3:0.74058336342262 4:0.449 5:0.824571339753915 6:0.460912 7:0.853341867387118 8:0.662453 9:0.675897 10:0.695466 11:0.726649 12:0.5637 13:0.922094508435112 14:0.778077073467437 15:0.774647887323944 16:0.78169014084507 17:0.784988149873994 18:0.893386010501901 19:0.887323943661972 20:1.52950256994 21:0.6429 22:0.4286 23:0.4643 30:0.602651 #T0877:BAKER-ROSETTASERVER_TS4
0.6743 1:0.93052 2:0.562229 3:0.723547773083911 4:0.464 5:0.842497811027818 6:0.469312 7:0.863018754354082 8:0.654834 9:0.617183 10:0.645036 11:0.71189 12:0.5693 13:0.929403229149872 14:0.794934179085024 15:0.788732394366197 16:0.704225352112676 17:0.800390393006865 18:0.894989612261929 19:0.894366197183099 20:1.5440141304 21:0.5357 22:0.4643 23:0.4643 30:0.605291 #T0877:BAKER-ROSETTASERVER_TS5
0.53345 1:0.87353 2:0.51632 3:0.713950460398848 4:0.414 5:0.780056915517179 6:0.436773 7:0.771131060124186 8:0.604395 9:0.649757 10:0.624091 11:0.678533 12:0.5348 13:0.895076603843907 14:0.788677933701177 15:0.753521126760563 16:0.690140845070423 17:0.794107576643196 18:0.896464535876933 19:0.876760563380282 20:1.43301009065 21:0.5357 22:0.25 23:0.4286 30:0.560400 #T0877:BhageerathH-Plus_TS1
0.60035 1:0.88576 2:0.582976 3:0.731054371669238 4:0.489 5:0.763741019945987 6:0.438422 7:0.751852502379871 8:0.620984 9:0.616594 10:0.568819 11:0.646678 12:0.5868 13:0.877122178786274 14:0.785506364860755 15:0.78169014084507 16:0.71830985915493 17:0.791664945510804 18:0.895850490241481 19:0.890845070422535 20:1.51063432973 21:0.5714 22:0.3571 23:0.5357 30:0.610370 #T0877:BhageerathH-Plus_TS2
0.5757 1:0.89725 2:0.531013 3:0.722951228400993 4:0.428 5:0.781589086081407 6:0.374945 7:0.760625634289609 8:0.596384 9:0.635418 10:0.598968 11:0.636362 12:0.5403 13:0.877526921796448 14:0.791979840987097 15:0.78169014084507 16:0.704225352112676 17:0.799552713267282 18:0.897601130457061 19:0.890845070422535 20:1.44958460075 21:0.5714 22:0.2857 23:0.4286 30:0.567187 #T0877:BhageerathH-Plus_TS3
0.57218 1:0.89264 2:0.54801 3:0.722829280217459 4:0.453 5:0.780716827746358 6:0.375756 7:0.76972899856126 8:0.613397 9:0.605867 10:0.601928 11:0.672273 12:0.5577 13:0.897574368649063 14:0.792848763957075 15:0.788732394366197 16:0.690140845070423 17:0.800397720379237 18:0.896554833820158 19:0.894366197183099 20:1.42764994544 21:0.5357 22:0.25 23:0.3929 30:0.576311 #T0877:BhageerathH-Plus_TS4
0.57218 1:0.74528 2:0.541037 3:0.695435207142514 4:0.437 5:0.756309330834534 6:0.37099 7:0.722445180167024 8:0.511948 9:0.466999 10:0.442213 11:0.535098 12:0.5491 13:0.873088044691334 14:0.785332580266759 15:0.725352112676056 16:0.654929577464789 17:0.799254954831941 18:0.895679080509875 19:0.862676056338028 20:1.45243968127 21:0.5 22:0.25 23:0.4643 30:0.557530 #T0877:BhageerathH-Plus_TS5
0.58275 1:0.72020 2:0.59418 3:0.691689816231668 4:0.506 5:0.733117011190099 6:0.365259 7:0.679208927111054 8:0.448665 9:0.444739 10:0.380942 11:0.444878 12:0.5822 13:0.848211111273967 14:0.792370856323587 15:0.690140845070423 16:0.683098591549296 17:0.796512917797912 18:0.897524327426165 19:0.845070422535211 20:1.36933264857 21:0.5714 22:0.2857 23:0.4286 30:0.566004 #T0877:FALCON_TOPOX_TS1
0.58803 1:0.74569 2:0.584652 3:0.643644946038631 4:0.499 5:0.736281675547697 6:0.378105 7:0.679513488890331 8:0.475747 9:0.45868 10:0.47349 11:0.50918 12:0.5791 13:0.841526465335112 14:0.788634487552679 15:0.725352112676056 16:0.697183098591549 17:0.793755763701201 18:0.898436031926156 19:0.862676056338028 20:1.41210859345 21:0.5357 22:0.2143 23:0.4286 30:0.569438 #T0877:FALCON_TOPOX_TS2
