0.07468 1:0.13895 2:0.0620621 3:0.524902459034674 4:0.033 5:0.584766390123715 6:0.117325 7:0.482338915027219 8:-2.53133e-05 9:-0.0441635 10:0.0211635 11:-0.0133989 12:0.0702 13:0.621335700544314 14:0.739865351382488 15:0.484419263456091 16:0.538243626062323 17:0.747981070278275 18:0.934490514885673 19:0.736543909348442 20:1.31719048668 21:0.0141 22:0.0986 23:0 30:0.095769 #T0905:ACOMPMOD_TS1
0.0901 1:0.14884 2:0.0669484 3:0.529190937438341 4:0.032 5:0.608256699266087 6:0.136936 7:0.516360200019147 8:0.0515157 9:0.0460872 10:0.110402 11:0.0600422 12:0.0708 13:0.622774238369352 14:0.740927419354839 15:0.529745042492918 16:0.555240793201133 17:0.751212579637391 18:0.93329410222701 19:0.764872521246459 20:1.31281502297 21:0.2535 22:0.0704 23:0.0141 30:0.106844 #T0905:ACOMPMOD_TS2
0.06494 1:0.13257 2:0.0546163 3:0.477251948918006 4:0.026 5:0.561785259926584 6:0.103714 7:0.44950614800503 8:-0.0792431 9:-0.0954359 10:-0.0784444 11:-0.0570829 12:0.0624 13:0.611224866806911 14:0.741557459677419 15:0.501416430594901 16:0.504249291784703 17:0.749300408757879 18:0.935161314172864 19:0.726628895184136 20:1.23009268552 21:0.0282 22:0 23:0 30:0.082374 #T0905:ACOMPMOD_TS3
0.09172 1:0.15547 2:0.0732412 3:0.524049053028668 4:0.037 5:0.575044721354122 6:0.113081 7:0.462886876890206 8:0.0768264 9:0.0848409 10:0.119975 11:0.0644701 12:0.0718 13:0.59375819224621 14:0.749117943548387 15:0.535410764872521 16:0.54957507082153 17:0.757864781926875 18:0.932188601421857 19:0.76628895184136 20:1.27624381013 21:0.169 22:0.1549 23:0.1408 30:0.123981 #T0905:ACOMPMOD_TS4
0.06331 1:0.14759 2:0.0561059 3:0.568362332930201 4:0.027 5:0.548401705550508 6:0.14327 7:0.445890619160759 8:8.56423e-05 9:-0.0271346 10:0.0515836 11:-0.0173889 12:0.0505 13:0.604771269113368 14:0.735959101382488 15:0.597733711048159 16:0.541076487252125 17:0.745454219480316 18:0.906275048170742 19:0.796033994334278 20:1.28080096593 21:0.1831 22:0.0986 23:0 30:0.090561 #T0905:ACOMPMOD_TS5
0.08279 1:0.16598 2:0.0721373 3:0.485104104509465 4:0.041 5:0.755612802060218 6:0.240734 7:0.632549392501403 8:0.129059 9:0.0460811 10:0.0970799 11:0.117326 12:0.0664 13:0.676442828332488 14:0.816928283410138 15:0.501416430594901 16:0.546742209631728 17:0.823513266479697 18:0.938440330361036 19:0.726628895184136 20:1.44979591222 21:0.0845 22:0.0282 23:0 30:0.097104 #T0905:Atome2_CBS_TS2
0.37175 1:0.40416 2:0.342214 3:0.687357140800199 4:0.273 5:0.772544095347823 6:0.347566 7:0.755261282903182 8:0.463306 9:0.518337 10:0.501747 11:0.462418 12:0.3381 13:0.833586916687713 14:0.768901209677419 15:0.756373937677054 16:0.631728045325779 17:0.782071550080406 18:0.930125901459809 19:0.878186968838527 20:1.62933770374 21:0.2676 22:0.1549 23:0.6901 30:0.441660 #T0905:BAKER-ROSETTASERVER_TS1
0.36364 1:0.32093 2:0.303454 3:0.656089257364162 4:0.233 5:0.727684021030889 6:0.303902 7:0.698170008659591 8:0.402321 9:0.421218 10:0.443397 11:0.372628 12:0.3056 13:0.786320213498648 14:0.76080069124424 15:0.713881019830028 16:0.603399433427762 17:0.772303338791564 18:0.925657001252205 19:0.854107648725212 20:1.51876058863 21:0.2254 22:0.1268 23:0.6479 30:0.394949 #T0905:BAKER-ROSETTASERVER_TS2
0.36526 1:0.35264 2:0.319884 3:0.661779057995975 4:0.253 5:0.757999784770753 6:0.330032 7:0.740579125120212 8:0.423145 9:0.453313 10:0.4596 11:0.398846 12:0.3108 13:0.824281349370213 14:0.769711261520737 15:0.736543909348442 16:0.60056657223796 17:0.77980649612353 18:0.922225112401718 19:0.868271954674221 20:1.57265648009 21:0.2817 22:0.0704 23:0.662 30:0.413207 #T0905:BAKER-ROSETTASERVER_TS3
0.35146 1:0.32720 2:0.335684 3:0.606598066621383 4:0.265 5:0.73707407265814 6:0.314944 7:0.708618878517687 8:0.399938 9:0.441871 10:0.465383 11:0.409767 12:0.3314 13:0.792341612826107 14:0.757704493087558 15:0.781869688385269 16:0.603399433427762 17:0.76924403199403 18:0.929974262389422 19:0.890934844192635 20:1.55368533058 21:0.2113 22:0.1268 23:0.6479 30:0.418376 #T0905:BAKER-ROSETTASERVER_TS4
0.34903 1:0.34759 2:0.330113 3:0.670162466730454 4:0.259 5:0.797623529713377 6:0.350568 7:0.772525220645509 8:0.378396 9:0.392723 10:0.436484 11:0.40641 12:0.3274 13:0.829241475754698 14:0.78486823156682 15:0.764872521246459 16:0.626062322946176 17:0.79487276517268 18:0.935893563065845 19:0.882436260623229 20:1.54620565331 21:0.2535 22:0.0704 23:0.6479 30:0.412084 #T0905:BAKER-ROSETTASERVER_TS5
