0.09401 1:0.14248 2:0.0999624 3:0.557626885818658 4:0.056 5:0.595932158886607 6:0.157064 7:0.527900149230047 8:0.00945302 9:-0.0480958 10:-0.0140623 11:-0.0249851 12:0.0785 13:0.720909017212483 14:0.715860221976154 15:0.43801652892562 16:0.491735537190083 17:0.732240332973232 18:0.899170037851756 19:0.679752066115702 20:1.26224996884 21:0.1042 22:0.0833 23:0.0208 30:0.131955 #T0893:ACOMPMOD_TS1
0.09401 1:0.16245 2:0.0931977 3:0.560048001435637 4:0.043 5:0.563162370330365 6:0.106778 7:0.485853945900141 8:0.121453 9:0.0962017 10:0.149495 11:0.0939475 12:0.0863 13:0.700649146953759 14:0.73602348518013 15:0.400826446280992 16:0.566115702479339 17:0.747714087952152 18:0.918125762383413 19:0.692148760330578 20:1.22521219038 21:0.2292 22:0.0208 23:0.1042 30:0.142010 #T0893:ACOMPMOD_TS2
0.09504 1:0.14156 2:0.0859896 3:0.540673166316324 4:0.051 5:0.52029660426867 6:0.094752 7:0.434801556632517 8:-0.12131 9:-0.0986402 10:-0.108244 11:-0.14059 12:0.0806 13:0.691349524264368 14:0.684778410115108 15:0.367768595041322 16:0.495867768595041 17:0.701813311721186 18:0.915455997309541 19:0.677685950413223 20:1.18426610732 21:0.125 22:0 23:0 30:0.123872 #T0893:ACOMPMOD_TS3
0.11674 1:0.14602 2:0.111824 3:0.499333492490396 4:0.069 5:0.57798983074906 6:0.137581 7:0.479008704091607 8:0.0122363 9:-0.00360552 10:0.0108454 11:-0.0161117 12:0.0888 13:0.694109213886299 14:0.74683902866119 15:0.429752066115702 16:0.508264462809917 17:0.760155090924653 18:0.916348213299623 19:0.714876033057851 20:1.13596043151 21:0.2708 22:0.1875 23:0.1667 30:0.162889 #T0893:ACOMPMOD_TS4
0.08368 1:0.14378 2:0.0862237 3:0.529418117362991 4:0.042 5:0.567711838256717 6:0.147337 7:0.49204707985807 8:0.00409473 9:0.010134 10:0.0336395 11:0.00267852 12:0.0772 13:0.691121745673969 14:0.730383951793578 15:0.458677685950413 16:0.553719008264463 17:0.736920502513907 18:0.912951303430124 19:0.723140495867769 20:1.23757648292 21:0.1458 22:0.0208 23:0.0208 30:0.118784 #T0893:ACOMPMOD_TS5
0.61467 1:0.74331 2:0.507573 3:0.738887556610155 4:0.425 5:0.826217563564591 6:0.421319 7:0.842924215732948 8:0.680342 9:0.688909 10:0.619458 11:0.628704 12:0.5209 13:0.902044456036529 14:0.773594623129812 15:0.84297520661157 16:0.71900826446281 17:0.78055698416157 18:0.91663385622493 19:0.911157024793388 20:1.65039285761 21:0.6458 22:0.8333 23:0.875 30:0.605591 #T0893:BAKER-ROSETTASERVER_TS1
0.56302 1:0.75367 2:0.518102 3:0.729977507274451 4:0.426 5:0.836181750566716 6:0.418309 7:0.851394303296899 8:0.723784 9:0.741865 10:0.689664 11:0.687651 12:0.5256 13:0.91102924201277 14:0.779362912986377 15:0.863636363636364 16:0.706611570247934 17:0.785837792115258 18:0.918731396765312 19:0.923553719008264 20:1.6549385166 21:0.6042 22:0.7292 23:0.8542 30:0.611468 #T0893:BAKER-ROSETTASERVER_TS2
0.58781 1:0.71833 2:0.511788 3:0.739351416465019 4:0.428 5:0.818525158005443 6:0.417878 7:0.836302407643676 8:0.665054 9:0.671923 10:0.602006 11:0.598345 12:0.5193 13:0.902075208349121 14:0.772332809723689 15:0.847107438016529 16:0.714876033057851 17:0.779781587094077 18:0.915398250002223 19:0.913223140495868 20:1.68092934197 21:0.6042 22:0.8542 23:0.8958 30:0.609683 #T0893:BAKER-ROSETTASERVER_TS3
0.54132 1:0.74766 2:0.51655 3:0.739962135424512 4:0.430 5:0.818126541574583 6:0.407003 7:0.826306933230504 8:0.678374 9:0.698441 10:0.624894 11:0.65274 12:0.5247 13:0.89997374157836 14:0.780315710864471 15:0.847107438016529 16:0.714876033057851 17:0.788396583325954 18:0.918385082102412 19:0.915289256198347 20:1.65502388557 21:0.625 22:0.875 23:0.875 30:0.611638 #T0893:BAKER-ROSETTASERVER_TS4
0.54545 1:0.70440 2:0.514617 3:0.705033040612094 4:0.422 5:0.82321071193053 6:0.404177 7:0.840518545245078 8:0.68385 9:0.691002 10:0.639593 11:0.640637 12:0.5186 13:0.885255103209696 14:0.772719079133727 15:0.84297520661157 16:0.71900826446281 17:0.780635769665194 18:0.917204337772533 19:0.913223140495868 20:1.66049206398 21:0.6667 22:0.75 23:0.8542 30:0.601208 #T0893:BAKER-ROSETTASERVER_TS5
0.55165 1:0.76139 2:0.494694 3:0.721964731248734 4:0.410 5:0.862337654381302 6:0.418432 7:0.876436670475175 8:0.698327 9:0.719313 10:0.638299 11:0.66337 12:0.5073 13:0.900553453511139 14:0.792470321633662 15:0.847107438016529 16:0.710743801652893 17:0.79739250869805 18:0.919628119839129 19:0.915289256198347 20:1.66082063267 21:0.6458 22:0.8333 23:0.9167 30:0.597694 #T0893:BhageerathH-Plus_TS1
0.54029 1:0.71381 2:0.481021 3:0.720614343872026 4:0.407 5:0.842979927179637 6:0.397981 7:0.850879249660408 8:0.705329 9:0.741845 10:0.61547 11:0.624805 12:0.4943 13:0.876895937346349 14:0.791672031519584 15:0.867768595041322 16:0.669421487603306 17:0.797403894635628 18:0.916756503477613 19:0.925619834710744 20:1.6509699985 21:0.5625 22:0.7917 23:0.9583 30:0.587097 #T0893:BhageerathH-Plus_TS2
0.5186 1:0.69877 2:0.513776 3:0.704962655699754 4:0.429 5:0.839752259225571 6:0.384407 7:0.847889223572127 8:0.623309 9:0.713426 10:0.560412 11:0.613347 12:0.5186 13:0.883660212499361 14:0.790384466819458 15:0.847107438016529 16:0.661157024793388 17:0.796256933323128 18:0.921418473072807 19:0.915289256198347 20:1.59940114171 21:0.5 22:0.7083 23:0.875 30:0.585421 #T0893:BhageerathH-Plus_TS3
0.53409 1:0.71452 2:0.50122 3:0.686177853897757 4:0.416 5:0.820704136654989 6:0.373906 7:0.832424039589443 8:0.651985 9:0.686624 10:0.599483 11:0.633403 12:0.5119 13:0.89712364544434 14:0.785465969664976 15:0.826446280991736 16:0.677685950413223 17:0.793459709639568 18:0.916717924669414 19:0.90495867768595 20:1.61534748453 21:0.6042 22:0.7708 23:0.875 30:0.590154 #T0893:BhageerathH-Plus_TS4
0.51136 1:0.54177 2:0.449189 3:0.692268566617529 4:0.383 5:0.809490486540935 6:0.366202 7:0.803776668983509 8:0.550552 9:0.52671 10:0.493073 11:0.470053 12:0.4366 13:0.867836781880632 14:0.786238508485051 15:0.78099173553719 16:0.62396694214876 17:0.792955510095869 18:0.91669154557669 19:0.878099173553719 20:1.62129259885 21:0.6042 22:0.6042 23:0.7292 30:0.530709 #T0893:BhageerathH-Plus_TS5
0.52273 1:0.62823 2:0.536733 3:0.675273654927311 4:0.453 5:0.766254790315016 6:0.359967 7:0.758323883980145 8:0.608123 9:0.658335 10:0.613813 11:0.599194 12:0.5450 13:0.83440892997813 14:0.767440063863209 15:0.859504132231405 16:0.698347107438017 17:0.775108192438892 18:0.918119801823699 19:0.921487603305785 20:1.635484092 21:0.6875 22:0.8125 23:0.8958 30:0.607542 #T0893:FALCON_TOPOX_TS1
0.5093 1:0.56608 2:0.463097 3:0.698873196655266 4:0.373 5:0.734339245094974 6:0.330251 7:0.715855174239251 8:0.515757 9:0.538384 10:0.527474 11:0.499434 12:0.4764 13:0.80786501408967 14:0.760796230010558 15:0.847107438016529 16:0.698347107438017 17:0.769595335870067 18:0.912462495860794 19:0.911157024793388 20:1.59029271282 21:0.6875 22:0.7708 23:0.9167 30:0.552345 #T0893:FALCON_TOPOX_TS2
