0.08977 1:0.15523 2:0.0850507 3:0.554482408921506 4:0.038 5:0.587160079024789 6:0.122731 7:0.482854669532213 8:-0.0290537 9:-0.0406535 10:-0.0630609 11:-0.0531012 12:0.0817 13:0.741376230886565 14:0.753165988240615 15:0.434977578475336 16:0.538116591928251 17:0.759006696642343 18:0.911052836115217 19:0.697309417040359 20:1.26745920346 21:0.1111 22:0.0444 23:0 30:0.119997 #T0879:ACOMPMOD_TS1
0.11591 1:0.18857 2:0.100749 3:0.593456348676438 4:0.043 5:0.570916207774081 6:0.117104 7:0.468488929484133 8:0.0880341 9:0.100106 10:0.118188 11:0.0664093 12:0.0928 13:0.732437898087725 14:0.743017865219358 15:0.547085201793722 16:0.587443946188341 17:0.753091095227996 18:0.906551276767366 19:0.76457399103139 20:1.19829272745 21:0.0667 22:0.0667 23:0.0667 30:0.139025 #T0879:ACOMPMOD_TS2
0.10682 1:0.16290 2:0.098378 3:0.568596226870969 4:0.051 5:0.637378235852076 6:0.166911 7:0.515032065191186 8:0.0908637 9:0.0958726 10:0.0764267 11:0.076247 12:0.0905 13:0.717180491873128 14:0.777702397105382 15:0.452914798206278 16:0.565022421524664 17:0.785803626534664 18:0.919168713648927 19:0.701793721973094 20:1.28972151578 21:0.0889 22:0.0222 23:0 30:0.128526 #T0879:ACOMPMOD_TS3
0.19205 1:0.29954 2:0.176593 3:0.632508430974268 4:0.095 5:0.69677498392128 6:0.271148 7:0.611566270277531 8:0.354541 9:0.470457 10:0.402385 11:0.364213 12:0.2168 13:0.763108334370523 14:0.778069877883311 15:0.663677130044843 16:0.63677130044843 17:0.778709896702538 18:0.920527847676946 19:0.831838565022421 20:1.35386818267 21:0.1556 22:0.0444 23:0.2222 30:0.251975 #T0879:ACOMPMOD_TS4
0.60114 1:0.47247 2:0.518425 3:0.677674718742554 4:0.418 5:0.788260973128873 6:0.403644 7:0.744894534245349 8:0.413943 9:0.45517 10:0.428324 11:0.435363 12:0.5023 13:0.856679697401091 14:0.78629579375848 15:0.695067264573991 16:0.654708520179372 17:0.797871727263287 18:0.917269786402956 19:0.84304932735426 20:1.56453718194 21:0.2889 22:0.6222 23:0.9333 30:0.548503 #T0879:ACOMPMOD_TS5
0.75114 1:0.82215 2:0.642423 3:0.727874939427272 4:0.557 5:0.886122787652931 6:0.479928 7:0.886839470734916 8:0.722616 9:0.799018 10:0.788073 11:0.770154 12:0.6298 13:0.952975340932526 14:0.814196065128901 15:0.789237668161435 16:0.73542600896861 17:0.822434218693649 18:0.918207448935643 19:0.890134529147982 20:1.65473201433 21:0.6222 22:0.8 23:0.9778 30:0.686585 #T0879:BAKER-ROSETTASERVER_TS1
0.75227 1:0.82256 2:0.631869 3:0.733223668142623 4:0.553 5:0.877165649665123 6:0.477389 7:0.885078035137388 8:0.706735 9:0.793675 10:0.738721 11:0.74003 12:0.6179 13:0.95790243029405 14:0.804556761646314 15:0.798206278026906 16:0.744394618834081 17:0.815138252764793 18:0.917218554099571 19:0.894618834080718 20:1.64001548011 21:0.6889 22:0.7333 23:0.9556 30:0.678829 #T0879:BAKER-ROSETTASERVER_TS2
0.73864 1:0.81282 2:0.621623 3:0.734178927254852 4:0.541 5:0.882916666846604 6:0.487584 7:0.887968444338823 8:0.666596 9:0.731107 10:0.710107 11:0.699006 12:0.6129 13:0.940668701072288 14:0.808994798733605 15:0.807174887892377 16:0.726457399103139 17:0.818563839146197 18:0.917730972767682 19:0.901345291479821 20:1.65209541415 21:0.6444 22:0.8 23:0.9556 30:0.668844 #T0879:BAKER-ROSETTASERVER_TS3
0.73636 1:0.81306 2:0.603697 3:0.734630372960064 4:0.512 5:0.887310539176939 6:0.484722 7:0.887452290233032 8:0.712732 9:0.778727 10:0.741861 11:0.725421 12:0.6006 13:0.952308874738696 14:0.817362053369516 15:0.807174887892377 16:0.708520179372197 17:0.827782046025801 18:0.918854801185527 19:0.901345291479821 20:1.63175382393 21:0.6667 22:0.7778 23:0.9556 30:0.658727 #T0879:BAKER-ROSETTASERVER_TS4
0.75568 1:0.80410 2:0.638886 3:0.710875029084389 4:0.554 5:0.872925804051683 6:0.473759 7:0.8686277670779 8:0.649783 9:0.706605 10:0.675488 11:0.677518 12:0.6288 13:0.942260552305695 14:0.813376300316599 15:0.811659192825112 16:0.708520179372197 17:0.821847210259685 18:0.918449693865251 19:0.896860986547085 20:1.65663864878 21:0.6889 22:0.7778 23:1 30:0.678672 #T0879:BAKER-ROSETTASERVER_TS5
0.67955 1:0.71807 2:0.620615 3:0.678674129244752 4:0.536 5:0.818812605061134 6:0.424472 7:0.789299797689653 8:0.563007 9:0.606944 10:0.607938 11:0.595751 12:0.6174 13:0.865823984243198 14:0.810436454093171 15:0.811659192825112 16:0.73542600896861 17:0.820099438430288 18:0.917922755199608 19:0.903587443946188 20:1.55179607748 21:0.5778 22:0.8222 23:0.9556 30:0.633472 #T0879:BhageerathH-Plus_TS1
