0.06012 1:0.11770 2:0.0548776 3:0.451397839027896 4:0.028 5:0.588089389809061 6:0.111933 7:0.460381010776442 8:0.00687333 9:-0.0560246 10:-0.00223279 11:-0.0373326 12:0.0647 13:0.583874735549327 14:0.743340579475033 15:0.528350515463918 16:0.5 17:0.751226691147083 18:0.929142339671015 19:0.757731958762887 20:1.28120444567 21:0.0385 22:0.1026 23:0 30:0.083058 #T0928:ACOMPMOD_TS1
0.06525 1:0.14047 2:0.0665272 3:0.489940296465668 4:0.033 5:0.660583704337343 6:0.148789 7:0.485974427110552 8:0.0787835 9:0.0149566 10:0.0834727 11:-0.0406916 12:0.0733 13:0.554511693085492 14:0.810973037863794 15:0.54639175257732 16:0.577319587628866 17:0.81248410505424 18:0.9289976414345 19:0.77319587628866 20:1.34547807539 21:0.1026 22:0.1282 23:0.1538 30:0.106843 #T0928:ACOMPMOD_TS2
0.06085 1:0.11010 2:0.0502245 3:0.403139531866875 4:0.025 5:0.543998948794887 6:0.0808654 7:0.37749305131281 8:-0.0232808 9:0.0119625 10:0.0159517 11:-0.0282977 12:0.0538 13:0.52810706280113 14:0.755815839849453 15:0.525773195876289 16:0.479381443298969 17:0.763601605389158 18:0.916287444386204 19:0.762886597938144 20:1.18106489527 21:0.1154 22:0.0769 23:0 30:0.075547 #T0928:ACOMPMOD_TS3
0.05938 1:0.13803 2:0.0524102 3:0.488799732868886 4:0.029 5:0.553490953386638 6:0.110195 7:0.426182417434716 8:0.0139262 9:-0.0517196 10:0.0250701 11:-0.0555223 12:0.0449 13:0.572947161395784 14:0.739820252425294 15:0.554123711340206 16:0.520618556701031 17:0.751959730035361 18:0.884060951327912 19:0.777061855670103 20:1.27045112092 21:0.1282 22:0.1667 23:0.0256 30:0.087351 #T0928:ACOMPMOD_TS4
0.06378 1:0.12106 2:0.0572905 3:0.436810586586635 4:0.028 5:0.547860525092854 6:0.119612 7:0.415135060909465 8:0.0241534 9:-0.0559701 10:0.0520802 11:-0.0232455 12:0.0450 13:0.586514232384508 14:0.734336978034457 15:0.515463917525773 16:0.448453608247423 17:0.743315860414058 18:0.890390992423123 19:0.752577319587629 20:1.31715583149 21:0.1026 22:0.0641 23:0.0513 30:0.090526 #T0928:ACOMPMOD_TS5
0.53886 1:0.66558 2:0.390778 3:0.683290254734855 4:0.307 5:0.830919988986003 6:0.422904 7:0.764801756595721 8:0.649631 9:0.725633 10:0.825548 11:0.73673 12:0.3925 13:0.81324200063554 14:0.821761136887187 15:0.845360824742268 16:0.677835051546392 17:0.825933527183792 18:0.943709214612608 19:0.917525773195876 20:1.77658475793 21:0.9872 22:0.9872 23:0.8205 30:0.544235 #T0928:BAKER-ROSETTASERVER_TS1
0.53666 1:0.66929 2:0.391494 3:0.677489722292139 4:0.307 5:0.833746344915389 6:0.431369 7:0.771458548604843 8:0.637877 9:0.732179 10:0.829381 11:0.759649 12:0.3943 13:0.810791233549665 14:0.823740306933584 15:0.822164948453608 16:0.677835051546392 17:0.826882033806853 18:0.943929551221257 19:0.911082474226804 20:1.80109170249 21:1 22:0.9872 23:0.7949 30:0.546251 #T0928:BAKER-ROSETTASERVER_TS2
0.55132 1:0.67537 2:0.392572 3:0.689112688694201 4:0.311 5:0.826049302860537 6:0.424338 7:0.75625870983578 8:0.620791 9:0.677614 10:0.788763 11:0.695994 12:0.3934 13:0.815315522932418 14:0.820966224327569 15:0.778350515463918 16:0.724226804123711 17:0.826399785642901 18:0.943056193150053 19:0.88659793814433 20:1.79387654199 21:0.9615 22:0.9872 23:0.859 30:0.545687 #T0928:BAKER-ROSETTASERVER_TS3
0.58944 1:0.66471 2:0.391495 3:0.674913766990102 4:0.310 5:0.82791178468855 6:0.412217 7:0.756499421112642 8:0.624059 9:0.693396 10:0.824316 11:0.727481 12:0.3938 13:0.794465144041522 14:0.822896726258071 15:0.778350515463918 16:0.65979381443299 17:0.82851449011831 18:0.943746171684639 19:0.88659793814433 20:1.79414110524 21:1 22:0.9744 23:0.8333 30:0.544174 #T0928:BAKER-ROSETTASERVER_TS4
0.22654 1:0.40155 2:0.189746 3:0.647051078717083 4:0.144 5:0.746769373997217 6:0.337209 7:0.680291296379876 8:0.478429 9:0.496035 10:0.620691 11:0.519366 12:0.2058 13:0.773552213083545 14:0.791457123389896 15:0.716494845360825 16:0.698453608247423 17:0.798234910017964 18:0.934771803049005 19:0.858247422680412 20:1.65782566143 21:0.859 22:0.6923 23:0.3846 30:0.347312 #T0928:BAKER-ROSETTASERVER_TS5
0.44575 1:0.54158 2:0.388026 3:0.561978175307152 4:0.323 5:0.846718566861831 6:0.346279 7:0.759058322010547 8:0.555074 9:0.670576 10:0.659757 11:0.650551 12:0.3844 13:0.79454258264173 14:0.842655981311443 15:0.770618556701031 16:0.621134020618557 17:0.848958939792907 18:0.944687779058668 19:0.881443298969072 20:1.71245738654 21:0.8974 22:0.8974 23:0.7564 30:0.510976 #T0928:BhageerathH-Plus_TS1
0.42302 1:0.60675 2:0.377722 3:0.624415861280511 4:0.312 5:0.849724431504907 6:0.357031 7:0.769442543291843 8:0.567345 9:0.636135 10:0.722245 11:0.672926 12:0.3766 13:0.797837587923586 14:0.836329126245093 15:0.798969072164949 16:0.667525773195876 17:0.842386989054045 18:0.944529392788097 19:0.899484536082474 20:1.70743846092 21:1 22:0.9103 23:0.6923 30:0.511149 #T0928:BhageerathH-Plus_TS2
0.45235 1:0.59884 2:0.399986 3:0.577930481890647 4:0.323 5:0.848102225769207 6:0.3356 7:0.75869180368822 8:0.583034 9:0.678041 10:0.735918 11:0.686807 12:0.4003 13:0.787901685899877 14:0.847944583238701 15:0.778350515463918 16:0.680412371134021 17:0.849831868448138 18:0.946025691236194 19:0.889175257731959 20:1.6981212485 21:1 22:0.8974 23:0.7692 30:0.522104 #T0928:BhageerathH-Plus_TS3
0.50733 1:0.64025 2:0.351442 3:0.628865575566803 4:0.278 5:0.843127476686671 6:0.401215 7:0.761239105895767 8:0.509475 9:0.587369 10:0.632973 11:0.596951 12:0.3523 13:0.775394994116957 14:0.828347555238311 15:0.775773195876289 16:0.729381443298969 17:0.835051152609731 18:0.943741208788939 19:0.887886597938144 20:1.74215125194 21:0.9359 22:0.859 23:0.859 30:0.497189 #T0928:BhageerathH-Plus_TS4
0.30499 1:0.51515 2:0.290368 3:0.599524956104307 4:0.209 5:0.795784623862035 6:0.30972 7:0.715559558688457 8:0.549709 9:0.628347 10:0.677318 11:0.626182 12:0.2907 13:0.771165930451262 14:0.814769150903605 15:0.801546391752577 16:0.652061855670103 17:0.822487754128347 18:0.93780392871961 19:0.900773195876289 20:1.7409290448 21:0.9615 22:0.8333 23:0.6795 30:0.449104 #T0928:BhageerathH-Plus_TS5
0.55938 1:0.58404 2:0.41531 3:0.606580445449893 4:0.349 5:0.785177303886589 6:0.343255 7:0.659020166991306 8:0.486332 9:0.5483 10:0.618667 11:0.545646 12:0.4050 13:0.677956336653221 14:0.808344959605464 15:0.77319587628866 16:0.708762886597938 17:0.814003668991059 18:0.9406738026582 19:0.88659793814433 20:1.74483926377 21:0.9231 22:0.9103 23:0.7821 30:0.522844 #T0928:FALCON_TOPOX_TS1
0.55059 1:0.52216 2:0.409702 3:0.562951781957935 4:0.344 5:0.788607883994025 6:0.329178 7:0.675119135469618 8:0.519261 9:0.57944 10:0.634451 11:0.583364 12:0.4003 13:0.683710267986224 14:0.806592907433244 15:0.765463917525773 16:0.690721649484536 17:0.814418443824643 18:0.941434058075446 19:0.882731958762887 20:1.73272848725 21:0.9359 22:0.9231 23:0.7821 30:0.517651 #T0928:FALCON_TOPOX_TS2
0.57038 1:0.56915 2:0.418023 3:0.577043638940357 4:0.350 5:0.784248293750166 6:0.346528 7:0.659765034245491 8:0.47492 9:0.487261 10:0.579444 11:0.508985 12:0.4083 13:0.674898513923203 14:0.808961422406801 15:0.770618556701031 16:0.698453608247423 17:0.814035979145551 18:0.94049132830587 19:0.880154639175258 20:1.71618974533 21:0.9231 22:0.8974 23:0.7692 30:0.516448 #T0928:FALCON_TOPOX_TS3
0.55792 1:0.57131 2:0.416398 3:0.571090638247259 4:0.348 5:0.791207549806756 6:0.339199 7:0.66885399223241 8:0.486801 9:0.506838 10:0.595492 11:0.534214 12:0.4060 13:0.68512327194547 14:0.813487557185036 15:0.783505154639175 16:0.693298969072165 17:0.818183038198092 18:0.94247784708357 19:0.891752577319588 20:1.71622056768 21:0.9359 22:0.9359 23:0.7692 30:0.517944 #T0928:FALCON_TOPOX_TS4
0.55718 1:0.52508 2:0.41781 3:0.528274184075845 4:0.350 5:0.786429704860342 6:0.348282 7:0.662778062120924 8:0.525909 9:0.565822 10:0.630109 11:0.578957 12:0.4083 13:0.677575942789908 14:0.811281269264463 15:0.79639175257732 16:0.680412371134021 17:0.81629940483014 18:0.942399567313471 19:0.89819587628866 20:1.71012890409 21:0.9359 22:0.9487 23:0.7692 30:0.518302 #T0928:FALCON_TOPOX_TS5
0.56672 1:0.56767 2:0.419705 3:0.57864522946219 4:0.351 5:0.791598481763746 6:0.365095 7:0.681307572766719 8:0.474531 9:0.539226 10:0.610737 11:0.553869 12:0.4103 13:0.708659238668342 14:0.811540832549236 15:0.775773195876289 16:0.680412371134021 17:0.816753720344402 18:0.942127235809251 19:0.887886597938144 20:1.76373495387 21:0.9359 22:0.9231 23:0.7949 30:0.528232 #T0928:FALCON_TOPO_TS1
0.56598 1:0.56821 2:0.41831 3:0.57455116211132 4:0.351 5:0.785166174841106 6:0.331042 7:0.660455233047492 8:0.482863 9:0.539592 10:0.628947 11:0.540464 12:0.4089 13:0.677893569876528 14:0.807387819992862 15:0.780927835051546 16:0.708762886597938 17:0.812198212300137 18:0.941709790225769 19:0.890463917525773 20:1.72157923979 21:0.9359 22:0.9487 23:0.7692 30:0.520954 #T0928:FALCON_TOPO_TS2
0.56598 1:0.54497 2:0.416633 3:0.560887900962016 4:0.350 5:0.784476469537545 6:0.337792 7:0.65886180634076 8:0.500605 9:0.542798 10:0.602962 11:0.550357 12:0.4080 13:0.673643035249593 14:0.815726290516206 15:0.788659793814433 16:0.713917525773196 17:0.82120528141035 18:0.943231921287106 19:0.894329896907217 20:1.7021720938 21:0.9359 22:0.9359 23:0.7821 30:0.516537 #T0928:FALCON_TOPO_TS3
0.55938 1:0.57533 2:0.41771 3:0.597319422837756 4:0.349 5:0.790533852139862 6:0.35157 7:0.660022834239948 8:0.463262 9:0.507149 10:0.559377 11:0.512014 12:0.4069 13:0.679284816595049 14:0.811248823853866 15:0.760309278350515 16:0.719072164948454 17:0.815908561745825 18:0.941095375005041 19:0.880154639175258 20:1.75423893798 21:0.9359 22:0.9231 23:0.7692 30:0.520341 #T0928:FALCON_TOPO_TS4
0.55352 1:0.53054 2:0.413068 3:0.532423426401301 4:0.347 5:0.774953771695579 6:0.317551 7:0.639718996132041 8:0.473566 9:0.525669 10:0.598274 11:0.525136 12:0.4030 13:0.651417799140589 14:0.802861685214626 15:0.775773195876289 16:0.713917525773196 17:0.808218947870557 18:0.941320444746093 19:0.887886597938144 20:1.73709193758 21:0.9359 22:0.9359 23:0.7821 30:0.514644 #T0928:FALCON_TOPO_TS5
0.38636 1:0.46460 2:0.353133 3:0.497967202310374 4:0.288 5:0.78619999930193 6:0.242494 7:0.594925240153927 8:0.471688 9:0.537239 10:0.56581 11:0.525032 12:0.3486 13:0.597851830327876 14:0.832662794847669 15:0.768041237113402 16:0.657216494845361 17:0.838227399220296 18:0.944852922017911 19:0.884020618556701 20:1.63698619815 21:0.9487 22:0.7949 23:0.6795 30:0.459550 #T0928:FFAS-3D_TS1
0.50733 1:0.20902 2:0.381199 3:0.576646631833147 4:0.312 5:0.689042806663357 6:0.217218 7:0.53506715667411 8:0.264629 9:0.345048 10:0.307738 11:0.340321 12:0.3780 13:0.570625721066448 14:0.808036728204795 15:0.54639175257732 16:0.664948453608247 17:0.815428771932983 18:0.945284861786225 19:0.766752577319588 20:1.47343067778 21:0.9359 22:0.8718 23:0.7308 30:0.448079 #T0928:FLOUDAS_SERVER_TS1
0.5044 1:0.22574 2:0.375178 3:0.57459850308188 4:0.309 5:0.694646646071748 6:0.215088 7:0.521894960548403 8:0.282043 9:0.360441 10:0.349847 11:0.374446 12:0.3713 13:0.555087830545448 14:0.823610525291198 15:0.554123711340206 16:0.680412371134021 17:0.830641871291751 18:0.946188360895009 19:0.77319587628866 20:1.53167770643 21:0.9359 22:0.8718 23:0.7308 30:0.449492 #T0928:FLOUDAS_SERVER_TS2
0.5132 1:0.22546 2:0.376294 3:0.522938384968686 4:0.309 5:0.694069151401459 6:0.209019 7:0.540071407351101 8:0.273933 9:0.343517 10:0.325364 11:0.332781 12:0.3733 13:0.563886988311209 14:0.812595308393628 15:0.569587628865979 16:0.680412371134021 17:0.820983675441055 18:0.9454768985888 19:0.778350515463918 20:1.50402127981 21:0.9359 22:0.9103 23:0.641 30:0.443570 #T0928:FLOUDAS_SERVER_TS3
0.5088 1:0.24437 2:0.3771 3:0.533578225983892 4:0.311 5:0.691231074884098 6:0.220842 7:0.541938485616894 8:0.271808 9:0.359562 10:0.352171 11:0.367773 12:0.3734 13:0.584556796418071 14:0.807809610330619 15:0.572164948453608 16:0.708762886597938 17:0.814669684806606 18:0.94568519180159 19:0.778350515463918 20:1.49390049165 21:0.9487 22:0.8974 23:0.7179 30:0.450430 #T0928:FLOUDAS_SERVER_TS4
0.51686 1:0.25775 2:0.377232 3:0.513791132311779 4:0.312 5:0.697374366528973 6:0.219898 7:0.5404352579695 8:0.287813 9:0.355952 10:0.380992 11:0.379863 12:0.3729 13:0.574245796701488 14:0.817105220466565 15:0.587628865979381 16:0.675257731958763 17:0.82327590093819 18:0.946198848985307 19:0.78479381443299 20:1.51293686052 21:0.9359 22:0.9103 23:0.7051 30:0.451236 #T0928:FLOUDAS_SERVER_TS5
0.08724 1:0.20850 2:0.0866558 3:0.53565945971991 4:0.058 5:0.49689799795676 6:0.125716 7:0.413709853714349 8:0.125534 9:0.0736631 10:0.267126 11:0.107482 12:0.0660 13:0.578639113220673 14:0.675286330748516 15:0.752577319587629 16:0.585051546391753 17:0.691778700089166 18:0.895931541618302 19:0.876288659793814 20:1.4326845896 21:0.5256 22:0.5 23:0.1154 30:0.174993 #T0928:GAPF_LNCC_SERVER_TS1
