0.19471 1:0.27092 2:0.159669 3:0.646945483213534 4:0.100 5:0.456490420392663 6:0.112774 7:0.430181562852023 8:0.0043133 9:-0.100196 10:0.0265752 11:0.0121345 12:0.1137 13:0.810412607575029 14:0.636604774535809 15:0.491666666666667 16:0.541666666666667 17:0.646257308655658 18:0.761090954322736 19:0.733333333333333 20:1.26853547839 21:0.0833 22:0.0417 23:0.0417 30:0.218694 #T0869:ACOMPMOD_TS1
0.1899 1:0.26045 2:0.147272 3:0.660115108008878 4:0.076 5:0.535685614466896 6:0.151531 7:0.483138608358935 8:0.00352855 9:-0.00419324 10:0.0284411 11:0.0240151 12:0.1360 13:0.827956620505876 14:0.717608651295654 15:0.475 16:0.616666666666667 17:0.722933950248804 18:0.862843206604496 19:0.7375 20:1.20215488517 21:0.2083 22:0.0417 23:0.0417 30:0.201412 #T0869:ACOMPMOD_TS2
0.19471 1:0.25389 2:0.163851 3:0.697445919937686 4:0.093 5:0.496842624104328 6:0.177853 7:0.473603435611879 8:0.0167288 9:-0.0161428 10:-0.0222217 11:0.0566933 12:0.1301 13:0.826476562841291 14:0.657467863701285 15:0.541666666666667 16:0.591666666666667 17:0.668721740316186 18:0.846849837641473 19:0.770833333333333 20:1.28688192917 21:0 22:0 23:0 30:0.207498 #T0869:ACOMPMOD_TS3
0.19952 1:0.23916 2:0.168079 3:0.643438361395854 4:0.083 5:0.537227933541129 6:0.191282 7:0.464420254160266 8:-0.025274 9:-0.117936 10:-0.063643 11:-0.0399438 12:0.1679 13:0.816618103184658 14:0.725413180983473 15:0.408333333333333 16:0.608333333333333 17:0.735101653449562 18:0.870029132702138 19:0.695833333333333 20:1.19990269351 21:0.0417 22:0 23:0.0833 30:0.211940 #T0869:ACOMPMOD_TS4
0.15625 1:0.20749 2:0.140596 3:0.622680162892437 4:0.070 5:0.486874787403267 6:0.0989636 7:0.42088615546595 8:-0.0745429 9:-0.0984864 10:-0.0461017 11:-0.058561 12:0.1081 13:0.819807675505657 14:0.690165272393389 15:0.416666666666667 16:0.516666666666667 17:0.701511555806987 18:0.857470404698832 19:0.708333333333333 20:1.14435697343 21:0.0417 22:0 23:0 30:0.174545 #T0869:ACOMPMOD_TS5
0.28365 1:0.32060 2:0.208021 3:0.680252033319595 4:0.130 5:0.732811043708799 6:0.307281 7:0.714916817204301 8:0.261306 9:0.179852 10:0.253346 11:0.250985 12:0.2203 13:0.868836769909571 14:0.787645378494185 15:0.616666666666667 16:0.6 17:0.793968048790864 18:0.881355989049763 19:0.795833333333333 20:1.34359573149 21:0.0417 22:0.0833 23:0.0417 30:0.259093 #T0869:Atome2_CBS_TS1
0.26683 1:0.27133 2:0.185658 3:0.671452986928525 4:0.105 5:0.680289386858699 6:0.227797 7:0.634228653161802 8:0.204857 9:0.173293 10:0.162068 11:0.196708 12:0.1949 13:0.849482001660041 14:0.771883289124668 15:0.575 16:0.608333333333333 17:0.777997364279706 18:0.879843652091203 19:0.775 20:1.30859737552 21:0.1667 22:0.0833 23:0.0417 30:0.238469 #T0869:Atome2_CBS_TS3
0.26683 1:0.27229 2:0.199354 3:0.657145780790943 4:0.120 5:0.645625773072514 6:0.177679 7:0.57804418234767 8:0.132714 9:0.0933447 10:0.191934 11:0.153069 12:0.2071 13:0.831183106897908 14:0.749591920016323 15:0.641666666666667 16:0.591666666666667 17:0.758808637127755 18:0.869396591276843 19:0.7875 20:1.35628284823 21:0.1667 22:0.25 23:0 30:0.258068 #T0869:Atome2_CBS_TS5
0.27885 1:0.43556 2:0.267576 3:0.693716465823972 4:0.175 5:0.694372820328174 6:0.280392 7:0.701550524257552 8:0.320767 9:0.291279 10:0.319962 11:0.311748 12:0.2908 13:0.893961272989385 14:0.775607018975719 15:0.7 16:0.633333333333333 17:0.779763973009741 18:0.873448467046507 19:0.820833333333333 20:1.36438314601 21:0.0833 22:0.0833 23:0.375 30:0.351076 #T0869:BhageerathH-Plus_TS1
0.26923 1:0.41058 2:0.244228 3:0.689829431804862 4:0.160 5:0.636248502257094 6:0.235043 7:0.653398942524322 8:0.264597 9:0.270119 10:0.298034 11:0.241945 12:0.2439 13:0.885719496745446 14:0.713578861456845 15:0.708333333333333 16:0.666666666666667 17:0.720227131064941 18:0.850035589702136 19:0.825 20:1.37803934994 21:0.0833 22:0.0833 23:0.2917 30:0.327286 #T0869:BhageerathH-Plus_TS2
0.26923 1:0.27270 2:0.208113 3:0.686245079763602 4:0.127 5:0.67780074287045 6:0.26673 7:0.709958124807988 8:0.274349 9:0.154572 10:0.212077 11:0.248779 12:0.2245 13:0.908213380804683 14:0.71301775147929 15:0.725 16:0.533333333333333 17:0.729941507203548 18:0.858081642473042 19:0.8625 20:1.38336182431 21:0 22:0.0417 23:0.0417 30:0.265315 #T0869:BhageerathH-Plus_TS3
0.27885 1:0.42171 2:0.263046 3:0.696386438486174 4:0.174 5:0.690910636177988 6:0.274975 7:0.706938556579621 8:0.329418 9:0.356209 10:0.340744 11:0.331922 12:0.2874 13:0.898975907561924 14:0.756223219751071 15:0.725 16:0.616666666666667 17:0.761978305632178 18:0.871231825894382 19:0.833333333333333 20:1.37087897053 21:0.0833 22:0.0833 23:0.375 30:0.350791 #T0869:BhageerathH-Plus_TS4
0.27644 1:0.42979 2:0.263365 3:0.691898861492273 4:0.173 5:0.696966389724849 6:0.281327 7:0.708205137608807 8:0.332949 9:0.328201 10:0.325762 11:0.32762 12:0.2863 13:0.894772399633044 14:0.760610079575597 15:0.733333333333333 16:0.616666666666667 17:0.765392045783848 18:0.872201170564514 19:0.8375 20:1.37916482639 21:0.0833 22:0.0833 23:0.375 30:0.350103 #T0869:BhageerathH-Plus_TS5
