0.125 1:0.15810 2:0.108527 3:0.506366841058481 4:0.056 5:0.535118532298218 6:0.112704 7:0.433394504266493 8:-0.0592066 9:0.0327011 10:-0.0890978 11:0.0158424 12:0.0896 13:0.717599429462619 14:0.73377812257564 15:0.413612565445026 16:0.554973821989529 17:0.742737207720722 18:0.894429444860337 19:0.698952879581152 20:1.26488463732 21:0.0263 22:0 23:0 30:0.139452 #T0890:ACOMPMOD_TS1
0.10239 1:0.15582 2:0.105107 3:0.505744198458905 4:0.050 5:0.505072638351798 6:0.0751852 7:0.407433065239945 8:-0.0686877 9:0.0110297 10:-0.0735035 11:-0.0426238 12:0.0921 13:0.709475694168192 14:0.729278510473235 15:0.403141361256544 16:0.56020942408377 17:0.736215076235585 18:0.896313912767987 19:0.696335078534031 20:1.22142136714 21:0.0789 22:0.0526 23:0.0789 30:0.146919 #T0890:ACOMPMOD_TS2
0.12234 1:0.18289 2:0.120791 3:0.547592190706638 4:0.059 5:0.612276288462318 6:0.166535 7:0.527454843494905 8:0.106292 9:0.101564 10:0.103005 11:0.0879842 12:0.1067 13:0.763695916612588 14:0.754321179208689 15:0.565445026178011 16:0.528795811518325 17:0.763382504301664 18:0.892914446880587 19:0.782722513089005 20:1.32280861497 21:0.1842 22:0.1053 23:0 30:0.159306 #T0890:ACOMPMOD_TS3
0.11702 1:0.16177 2:0.114459 3:0.512206862382159 4:0.058 5:0.58992485805801 6:0.106968 7:0.506694771394793 8:0.00203906 9:-0.0280129 10:-0.0688544 11:-0.0325593 12:0.1009 13:0.741989327346781 14:0.756989914662529 15:0.445026178010471 16:0.49738219895288 17:0.767154786240644 18:0.894337943623821 19:0.717277486910995 20:1.28840504471 21:0.3421 22:0.0789 23:0.0526 30:0.162834 #T0890:ACOMPMOD_TS4
0.11037 1:0.16110 2:0.113937 3:0.527826950773601 4:0.060 5:0.535646544772726 6:0.117193 7:0.459683137018361 8:-0.0173097 9:0.0254319 10:0.00657871 11:-0.0341977 12:0.0959 13:0.739259144941609 14:0.718231186966641 15:0.43455497382199 16:0.554973821989529 17:0.726712558443566 18:0.891974097075989 19:0.709424083769634 20:1.22708409122 21:0.0526 22:0 23:0 30:0.144084 #T0890:ACOMPMOD_TS5
0.21676 1:0.33803 2:0.169516 3:0.643815332262693 4:0.109 5:0.680943225274948 6:0.177363 7:0.659552158982154 8:0.38911 9:0.351923 10:0.420975 11:0.328755 12:0.1399 13:0.824667498061304 14:0.741256788207913 15:0.801047120418848 16:0.617801047120419 17:0.745647930552768 18:0.852948983136397 19:0.892670157068063 20:1.40891967309 21:0.2105 22:0.1579 23:0.1053 30:0.241323 #T0890:Atome2_CBS_TS1
0.16356 1:0.22801 2:0.158012 3:0.554174621765223 4:0.085 5:0.770721206371858 6:0.222659 7:0.730488321953338 8:0.236174 9:0.210633 10:0.216652 11:0.212052 12:0.1471 13:0.85812589206376 14:0.791962761830877 15:0.638743455497382 16:0.586387434554974 17:0.795341434759194 18:0.906490952313307 19:0.806282722513089 20:1.36156472907 21:0.0526 22:0.0526 23:0.0263 30:0.189932 #T0890:Atome2_CBS_TS2
0.14628 1:0.21659 2:0.145008 3:0.541895926571392 4:0.082 5:0.705752016382078 6:0.210132 7:0.645318604040502 8:0.213177 9:0.159863 10:0.139739 11:0.187083 12:0.1148 13:0.770948125384025 14:0.783460046547711 15:0.617801047120419 16:0.565445026178011 17:0.787656702217287 18:0.902647736143488 19:0.774869109947644 20:1.36094587685 21:0.2368 22:0.0526 23:0.1053 30:0.187789 #T0890:Atome2_CBS_TS3
0.15027 1:0.21951 2:0.158875 3:0.506793534369368 4:0.096 5:0.668407426474229 6:0.152053 7:0.596631221037309 8:0.140158 9:0.0948375 10:0.0950485 11:0.0575985 12:0.1514 13:0.78081846041178 14:0.763630721489527 15:0.549738219895288 16:0.591623036649215 17:0.769096158899915 18:0.898569496176305 19:0.759162303664921 20:1.3728289721 21:0.3158 22:0.2368 23:0 30:0.210652 #T0890:Atome2_CBS_TS4
0.15027 1:0.21951 2:0.158875 3:0.506793534369368 4:0.096 5:0.668407426474229 6:0.152053 7:0.596631221037309 8:0.140158 9:0.0948375 10:0.0950485 11:0.0575985 12:0.1514 13:0.78081846041178 14:0.763630721489527 15:0.549738219895288 16:0.591623036649215 17:0.769096158899915 18:0.898569496176305 19:0.759162303664921 20:1.3728289721 21:0.3158 22:0.2368 23:0 30:0.210652 #T0890:Atome2_CBS_TS5
0.23271 1:0.38867 2:0.223114 3:0.614986934119743 4:0.137 5:0.850409790058208 6:0.341852 7:0.864764193065843 8:0.528757 9:0.463712 10:0.43584 11:0.423213 12:0.2366 13:0.908376700372977 14:0.796710628394104 15:0.722513089005236 16:0.617801047120419 17:0.800791870329031 18:0.900850119827244 19:0.853403141361257 20:1.49098709967 21:0.2105 22:0.2895 23:0.0789 30:0.293441 #T0890:BAKER-ROSETTASERVER_TS1
0.29521 1:0.52408 2:0.20577 3:0.631858241128053 4:0.133 5:0.801058252240775 6:0.303465 7:0.813963402578393 8:0.528751 9:0.519897 10:0.454322 11:0.428072 12:0.2117 13:0.913329026185097 14:0.779953452288596 15:0.780104712041885 16:0.664921465968586 17:0.786855953093649 18:0.892398258088113 19:0.884816753926702 20:1.47659674907 21:0.3158 22:0.3421 23:0.2895 30:0.316749 #T0890:BAKER-ROSETTASERVER_TS2
