0.1565 1:0.21221 2:0.148612 3:0.620898228262258 4:0.086 5:0.572747458129276 6:0.134104 7:0.496804512901 8:-0.00292851 9:0.00147465 10:-0.02349 11:-0.0130046 12:0.1146 13:0.797086560350047 14:0.731416907637353 15:0.442028985507246 16:0.521739130434783 17:0.734348976991075 18:0.860467371256515 19:0.721014492753623 20:1.17262490802 21:0.0357 22:0 23:0.0357 30:0.181022 #T0870:ACOMPMOD_TS1
0.14837 1:0.20520 2:0.139755 3:0.622893245126798 4:0.066 5:0.582605472447568 6:0.126249 7:0.51177916688929 8:0.0779495 9:0.0901676 10:0.0422111 11:0.0629275 12:0.1160 13:0.795171658653187 14:0.738093213131485 15:0.398550724637681 16:0.550724637681159 17:0.742903961757569 18:0.877476560735702 19:0.692028985507246 20:1.2167530674 21:0.1071 22:0.0714 23:0.0357 30:0.176122 #T0870:ACOMPMOD_TS2
0.20528 1:0.32581 2:0.158937 3:0.635958739773405 4:0.085 5:0.631267136590776 6:0.182523 7:0.564927351009595 8:0.164361 9:0.138545 10:0.190131 11:0.131345 12:0.1289 13:0.829798752302249 14:0.730864092532744 15:0.565217391304348 16:0.710144927536232 17:0.737692433724168 18:0.868275216185488 19:0.782608695652174 20:1.23794246146 21:0.0714 22:0.0357 23:0 30:0.197125 #T0870:ACOMPMOD_TS3
0.18902 1:0.22329 2:0.152995 3:0.613326202602879 4:0.085 5:0.525163986223784 6:0.103973 7:0.468416935205592 8:0.000296841 9:0.00482564 10:0.0170199 11:-0.0171624 12:0.1321 13:0.803208275227693 14:0.696802177241027 15:0.376811594202899 16:0.557971014492754 17:0.703693350204371 18:0.86143600608001 19:0.688405797101449 20:1.20419004926 21:0.1786 22:0.1071 23:0 30:0.199731 #T0870:ACOMPMOD_TS4
0.15447 1:0.26352 2:0.155244 3:0.605341634683703 4:0.086 5:0.587829904544718 6:0.142532 7:0.505867701640731 8:0.00112259 9:0.0573697 10:0.0359792 11:-0.0206063 12:0.1277 13:0.825397948914857 14:0.729843510801157 15:0.521739130434783 16:0.594202898550725 17:0.739297736886088 18:0.865259898899256 19:0.760869565217391 20:1.23866464621 21:0.1071 22:0.1429 23:0.0714 30:0.202415 #T0870:ACOMPMOD_TS5
0.22764 1:0.46267 2:0.184246 3:0.69693829886699 4:0.105 5:0.720707769916632 6:0.281801 7:0.711308295487433 8:0.30419 9:0.29097 10:0.280633 11:0.225821 12:0.1938 13:0.88333372011823 14:0.742345637013097 15:0.746376811594203 16:0.644927536231884 17:0.748106352549066 18:0.86631888291208 19:0.869565217391304 20:1.38299439619 21:0.1786 22:0.1071 23:0 30:0.252926 #T0870:Atome2_CBS_TS1
0.19919 1:0.42041 2:0.214866 3:0.689633394320831 4:0.128 5:0.821517318310965 6:0.337411 7:0.811315130679668 8:0.290195 9:0.284451 10:0.195609 11:0.253132 12:0.2332 13:0.906541763274985 14:0.782063276067358 15:0.760869565217391 16:0.594202898550725 17:0.787710042171587 18:0.882608351760556 19:0.880434782608696 20:1.38875463017 21:0.1786 22:0.0357 23:0 30:0.269280 #T0870:Atome2_CBS_TS2
0.20122 1:0.36124 2:0.211627 3:0.604565305158447 4:0.128 5:0.78128483666056 6:0.2514 7:0.706000129677865 8:0.158429 9:0.144183 10:0.199586 11:0.149147 12:0.2257 13:0.849991666543599 14:0.791205987412825 15:0.782608695652174 16:0.608695652173913 17:0.796449004915137 18:0.884993143734696 19:0.88768115942029 20:1.37600105619 21:0.1071 22:0.1786 23:0.0357 30:0.263067 #T0870:Atome2_CBS_TS5
0.22764 1:0.47434 2:0.211837 3:0.652538438156259 4:0.125 5:0.865946967705958 6:0.353602 7:0.82574523898573 8:0.387599 9:0.306923 10:0.358533 11:0.323382 12:0.2555 13:0.888882958187146 14:0.811447525089301 15:0.811594202898551 16:0.666666666666667 17:0.813725126676764 18:0.889721615202248 19:0.905797101449275 20:1.35461842142 21:0.1429 22:0.25 23:0.0357 30:0.278806 #T0870:BhageerathH-Plus_TS1
0.39024 1:0.44460 2:0.238025 3:0.663636537517812 4:0.135 5:0.812473635587623 6:0.330397 7:0.797317495714508 8:0.400023 9:0.30096 10:0.358122 11:0.323585 12:0.2629 13:0.905477296078212 14:0.781467936723933 15:0.77536231884058 16:0.63768115942029 17:0.785993403165747 18:0.885716869921246 19:0.88768115942029 20:1.35674773066 21:0.2857 22:0.3571 23:0.1429 30:0.311707 #T0870:BhageerathH-Plus_TS2
0.29268 1:0.44597 2:0.240542 3:0.677789212282433 4:0.141 5:0.845194399354493 6:0.371871 7:0.838940322636301 8:0.42828 9:0.357472 10:0.386344 11:0.349497 12:0.2652 13:0.917558803611024 14:0.793374723592448 15:0.768115942028985 16:0.623188405797101 17:0.796681746649157 18:0.882803696636483 19:0.884057971014493 20:1.38742190474 21:0.1071 22:0.2143 23:0.1429 30:0.305871 #T0870:BhageerathH-Plus_TS3
