0.06541 1:0.13173 2:0.0568927 3:0.45273520091102 4:0.027 5:0.677845746107879 6:0.152965 7:0.501581947605317 8:0.0466602 9:0.0274881 10:-0.0420852 11:-0.00881997 12:0.0619 13:0.583419661348027 14:0.801755643765191 15:0.527932960893855 16:0.525139664804469 17:0.804844335201521 18:0.94124983461938 19:0.752793296089385 20:1.34571360226 21:0.0278 22:0 23:0 30:0.074034 #T0878:ACOMPMOD_TS1
0.07776 1:0.15758 2:0.063254 3:0.461070073475475 4:0.032 5:0.631861439135928 6:0.127254 7:0.464298527962996 8:0.0481492 9:0.0639104 10:0.0341765 11:0.0310155 12:0.0668 13:0.59187747426909 14:0.771976148425341 15:0.575418994413408 16:0.572625698324022 17:0.783247463712111 18:0.941869640148067 19:0.787709497206704 20:1.27659608568 21:0.0694 22:0.1389 23:0.1528 30:0.107113 #T0878:ACOMPMOD_TS2
0.05305 1:0.13742 2:0.0535146 3:0.460128626850638 4:0.026 5:0.592510214901262 6:0.132736 7:0.470010709179689 8:-0.0119706 9:-0.0689178 10:-0.0198555 11:-0.0503954 12:0.0516 13:0.639731680917365 14:0.737213002955217 15:0.539106145251397 16:0.541899441340782 17:0.74892245253871 18:0.910512037441094 19:0.751396648044693 20:1.34064963446 21:0.0556 22:0.0556 23:0 30:0.082783 #T0878:ACOMPMOD_TS3
0.05814 1:0.12139 2:0.0563438 3:0.409053441933977 4:0.028 5:0.640631235451082 6:0.124993 7:0.471844178466305 8:-0.00432996 9:-0.0892303 10:-0.120328 11:-0.0973019 12:0.0591 13:0.609902212865678 14:0.799779670204767 15:0.547486033519553 16:0.525139664804469 17:0.802388571520783 18:0.927886858559128 19:0.772346368715084 20:1.29064030838 21:0.0694 22:0.0417 23:0.0694 30:0.084470 #T0878:ACOMPMOD_TS4
0.05887 1:0.13189 2:0.056992 3:0.450795172766542 4:0.028 5:0.634699687201276 6:0.141615 7:0.455168893387054 8:-0.00644088 9:-0.0404544 10:-0.0763465 11:-0.0374972 12:0.0633 13:0.590773795787471 14:0.779250528966373 15:0.513966480446927 16:0.544692737430168 17:0.786511715037067 18:0.941355016540904 19:0.743016759776536 20:1.33380671019 21:0.0556 22:0.0556 23:0.0278 30:0.085559 #T0878:ACOMPMOD_TS5
0.0923 1:0.16925 2:0.069127 3:0.414110306503981 4:0.039 5:0.73109504738756 6:0.216122 7:0.60501742222966 8:0.153522 9:0.0300338 10:0.0475949 11:0.0394516 12:0.0661 13:0.711495124787282 14:0.800671481280711 15:0.46927374301676 16:0.597765363128492 17:0.811477924555843 18:0.935482887512474 19:0.685754189944134 20:1.42565531738 21:0.1389 22:0.0556 23:0.0139 30:0.100261 #T0878:Atome2_CBS_TS1
0.06759 1:0.21322 2:0.0798496 3:0.526573269021614 4:0.049 5:0.750664936280185 6:0.249221 7:0.657079469295197 8:0.201409 9:0.165517 10:0.155552 11:0.192674 12:0.0774 13:0.718297345543822 14:0.794883452532918 15:0.578212290502793 16:0.597765363128492 17:0.803442340737339 18:0.936538226658912 19:0.772346368715084 20:1.46844625667 21:0.0417 22:0.1667 23:0.0278 30:0.119778 #T0878:BhageerathH-Plus_TS1
0.07049 1:0.19341 2:0.0810752 3:0.502245571917739 4:0.051 5:0.752430924393665 6:0.240923 7:0.64760200518755 8:0.18092 9:0.160197 10:0.156481 11:0.193888 12:0.0778 13:0.712172845608587 14:0.802245265532376 15:0.600558659217877 16:0.578212290502793 17:0.811039176635628 18:0.937781822653708 19:0.786312849162011 20:1.40489183298 21:0.0694 22:0.1944 23:0.0417 30:0.119890 #T0878:BhageerathH-Plus_TS2
0.06977 1:0.16848 2:0.0782869 3:0.497677338612256 4:0.049 5:0.75409739235122 6:0.251914 7:0.659632565648894 8:0.192376 9:0.0954769 10:0.11941 11:0.140367 12:0.0741 13:0.730662475080509 14:0.801843076223617 15:0.564245810055866 16:0.553072625698324 17:0.808139116199106 18:0.93467272537854 19:0.768156424581006 20:1.43833611842 21:0.0139 22:0.1806 23:0.0278 30:0.110981 #T0878:BhageerathH-Plus_TS3
0.07922 1:0.22361 2:0.0775657 3:0.520599943683755 4:0.043 5:0.696545534809321 6:0.248727 7:0.610619526577075 8:0.260918 9:0.266702 10:0.270584 11:0.2644 12:0.0705 13:0.727418735288381 14:0.773410040743526 15:0.701117318435754 16:0.634078212290503 17:0.788262549152814 18:0.932764480395536 19:0.850558659217877 20:1.50508489114 21:0.25 22:0.1944 23:0.2222 30:0.150777 #T0878:BhageerathH-Plus_TS4
0.08576 1:0.22258 2:0.0762562 3:0.514873321705103 4:0.044 5:0.690880639143613 6:0.24754 7:0.607215523796652 8:0.237149 9:0.249916 10:0.259304 11:0.24926 12:0.0702 13:0.74379115717257 14:0.773340094776785 15:0.662011173184358 16:0.611731843575419 17:0.789698532265644 18:0.933463880420102 19:0.831005586592179 20:1.49016011074 21:0.25 22:0.1944 23:0.2083 30:0.150068 #T0878:BhageerathH-Plus_TS5
