0.23246 1:0.27205 2:0.204105 3:0.659040237633184 4:0.138 5:0.517874602803392 6:0.111436 7:0.490323578976641 8:-0.0211829 9:-0.119515 10:-0.0373695 11:-0.0718857 12:0.2282 13:0.83694130234729 14:0.701304254864229 15:0.431034482758621 16:0.543103448275862 17:0.707031688337721 18:0.825705748305432 19:0.689655172413793 20:1.21983096654 21:0.2174 22:0.0435 23:0.3043 30:0.290824 #T0885:ACOMPMOD_TS1
0.14254 1:0.22425 2:0.142962 3:0.638557643244906 4:0.063 5:0.421168785616865 6:0.0686325 7:0.396436514182425 8:-0.0981713 9:-0.0807684 10:-0.0213219 11:-0.0699874 12:0.1078 13:0.823200125047884 14:0.632670515287578 15:0.370689655172414 16:0.491379310344828 17:0.651368076172194 18:0.805979888369698 19:0.676724137931034 20:1.10157492412 21:0 22:0 23:0 30:0.178307 #T0885:ACOMPMOD_TS2
0.14693 1:0.21234 2:0.154376 3:0.638275716162973 4:0.076 5:0.478531305519317 6:0.0948087 7:0.421042420877695 8:-0.0965227 9:-0.157794 10:-0.128125 11:-0.160315 12:0.1436 13:0.811987865071572 14:0.696921103271328 15:0.396551724137931 16:0.491379310344828 17:0.70739569569182 18:0.849597601672776 19:0.689655172413793 20:1.11044402841 21:0 22:0 23:0 30:0.187780 #T0885:ACOMPMOD_TS3
0.22368 1:0.24791 2:0.204336 3:0.64478295686866 4:0.110 5:0.479260004150977 6:0.0750003 7:0.436431175115207 8:-0.0997574 9:-0.102032 10:0.00102896 11:-0.0908002 12:0.2553 13:0.833416074817382 14:0.700502458841137 15:0.474137931034483 16:0.508620689655172 17:0.704223925065754 18:0.850243773728148 19:0.737068965517241 20:1.13368270671 21:0.0435 22:0.2609 23:0.1304 30:0.271674 #T0885:ACOMPMOD_TS4
0.14912 1:0.32577 2:0.144562 3:0.652604657734651 4:0.078 5:0.347766025736057 6:0.0596622 7:0.336088007508343 8:-0.182869 9:-0.130261 10:-0.086147 11:-0.190561 12:0.0771 13:0.808191076688697 14:0.579591618558905 15:0.5 16:0.456896551724138 17:0.592595809779904 18:0.629360403417688 19:0.75 20:1.0903519753 21:0.1304 22:0 23:0 30:0.195913 #T0885:ACOMPMOD_TS5
0.37061 1:0.45103 2:0.321928 3:0.685513039103864 4:0.140 5:0.685232492550479 6:0.21971 7:0.671774609950209 8:0.309065 9:0.261706 10:0.33035 11:0.217331 12:0.3595 13:0.875935107193335 14:0.741500962155228 15:0.75 16:0.646551724137931 17:0.747736822222481 18:0.871254714037551 19:0.849137931034483 20:1.37667346174 21:0.3478 22:0.2174 23:0.0435 30:0.362031 #T0885:Atome2_CBS_TS1
0.34211 1:0.39973 2:0.299617 3:0.69060363647108 4:0.169 5:0.694187994781629 6:0.244665 7:0.713848164759786 8:0.345402 9:0.272899 10:0.324266 11:0.29313 12:0.3297 13:0.900187131516029 14:0.737171263630532 15:0.681034482758621 16:0.637931034482759 17:0.749506596126491 18:0.86747232396635 19:0.814655172413793 20:1.33750727142 21:0.1304 22:0.087 23:0 30:0.341991 #T0885:Atome2_CBS_TS3
0.76974 1:0.74191 2:0.552159 3:0.764077319046755 4:0.431 5:0.846247425022979 6:0.445332 7:0.899810540481487 8:0.611225 9:0.634457 10:0.540858 11:0.574921 12:0.5669 13:0.940295799888161 14:0.79623690399829 15:0.870689655172414 16:0.732758620689655 17:0.79811484227503 18:0.879263878383104 19:0.926724137931034 20:1.444049681 21:0.6522 22:0.7826 23:0.7391 30:0.587457 #T0885:BAKER-ROSETTASERVER_TS1
0.87939 1:0.77182 2:0.546153 3:0.760677526557209 4:0.418 5:0.849479157648175 6:0.462513 7:0.91607319766672 8:0.698801 9:0.631306 10:0.619804 11:0.635771 12:0.5655 13:0.937832378595677 14:0.787577506948899 15:0.853448275862069 16:0.732758620689655 17:0.792381101153172 18:0.879746967359698 19:0.918103448275862 20:1.46189771518 21:0.6087 22:0.7826 23:0.7826 30:0.593276 #T0885:BAKER-ROSETTASERVER_TS2
0.84649 1:0.75437 2:0.554817 3:0.751910797021214 4:0.426 5:0.862100228118421 6:0.482968 7:0.92509679240161 8:0.662685 9:0.572678 10:0.568325 11:0.573456 12:0.5673 13:0.96213635943341 14:0.794366046611075 15:0.793103448275862 16:0.732758620689655 17:0.800389696360683 18:0.879778174488186 19:0.870689655172414 20:1.45228406747 21:0.7391 22:0.8261 23:0.7826 30:0.592413 #T0885:BAKER-ROSETTASERVER_TS3
0.83772 1:0.77499 2:0.545134 3:0.764468437235664 4:0.420 5:0.843322638019984 6:0.461009 7:0.905684450844854 8:0.651001 9:0.594938 10:0.592822 11:0.605352 12:0.5641 13:0.959932500561394 14:0.78714988240325 15:0.775862068965517 16:0.75 17:0.792886005259023 18:0.879144409867731 19:0.879310344827586 20:1.45433331474 21:0.7391 22:0.8261 23:0.8696 30:0.597672 #T0885:BAKER-ROSETTASERVER_TS4
