0.20253 1:0.25291 2:0.176178 3:0.623468213956386 4:0.075 5:0.499534889186239 6:0.1219 7:0.452575088368802 8:-0.0350449 9:-0.0282115 10:-0.0160602 11:-0.0435077 12:0.2130 13:0.855719108349139 14:0.732716747621265 15:0.382022471910112 16:0.539325842696629 17:0.738872220070075 18:0.841208803513268 19:0.679775280898876 20:1.1659700092 21:0.2222 22:0 23:0 30:0.230773 #T0882:ACOMPMOD_TS1
0.20886 1:0.29773 2:0.18619 3:0.614629991983122 4:0.092 5:0.407465629426029 6:0.0741542 7:0.384267879666546 8:0.00882701 9:0.0685453 10:0.0285453 11:-0.0261314 12:0.2146 13:0.84408924881357 14:0.684609754474682 15:0.393258426966292 16:0.606741573033708 17:0.693392987502216 18:0.792870190662632 19:0.696629213483146 20:1.19096642342 21:0.2222 22:0 23:0 30:0.253769 #T0882:ACOMPMOD_TS2
0.20253 1:0.26368 2:0.175594 3:0.602164854279508 4:0.102 5:0.453248056894703 6:0.071051 7:0.382633449231088 8:-0.0274088 9:0.0841955 10:-0.0665282 11:0.00949099 12:0.1540 13:0.845337485594808 14:0.727526781555659 15:0.370786516853933 16:0.550561797752809 17:0.736447585510272 18:0.827043954521278 19:0.640449438202247 20:1.17253393275 21:0 22:0 23:0 30:0.221855 #T0882:ACOMPMOD_TS3
0.2057 1:0.26386 2:0.175978 3:0.615548274961749 4:0.064 5:0.447077686243442 6:0.0905027 7:0.392801951103747 8:-0.0178326 9:-0.00485439 10:0.0265985 11:-0.0770123 12:0.1569 13:0.845041416017294 14:0.707232683478608 15:0.404494382022472 16:0.573033707865168 17:0.714376863699659 18:0.818170001124014 19:0.702247191011236 20:1.16827548023 21:0.6111 22:0.0556 23:0 30:0.230803 #T0882:ACOMPMOD_TS4
0.21835 1:0.27919 2:0.183635 3:0.625336997004673 4:0.088 5:0.478161462509782 6:0.0925155 7:0.416279338528452 8:0.044107 9:0.0241854 10:0.0289294 11:0.000693961 12:0.1820 13:0.844435089710477 14:0.741699381196354 15:0.393258426966292 16:0.606741573033708 17:0.748125740175763 18:0.837959893954734 19:0.674157303370786 20:1.20539233126 21:0.1667 22:0.2222 23:0 30:0.237881 #T0882:ACOMPMOD_TS5
0.75 1:0.64048 2:0.618035 3:0.688185637946824 4:0.503 5:0.652352743051195 6:0.323925 7:0.676488519995167 8:0.547131 9:0.638155 10:0.58082 11:0.579445 12:0.6205 13:0.894541900357353 14:0.745358972652871 15:0.808988764044944 16:0.797752808988764 17:0.751928702909954 18:0.839660447775087 19:0.904494382022472 20:1.41822872692 21:0.4444 22:0.7778 23:0.2222 30:0.608512 #T0882:Atome2_CBS_TS1
0.75 1:0.64048 2:0.618035 3:0.688185637946824 4:0.503 5:0.652352743051195 6:0.323925 7:0.676488519995167 8:0.547131 9:0.638155 10:0.58082 11:0.579445 12:0.6205 13:0.894541900357353 14:0.745358972652871 15:0.808988764044944 16:0.797752808988764 17:0.751928702909954 18:0.839660447775087 19:0.904494382022472 20:1.41822872692 21:0.4444 22:0.7778 23:0.2222 30:0.608512 #T0882:Atome2_CBS_TS2
0.77215 1:0.68882 2:0.629089 3:0.683097734668668 4:0.521 5:0.655368636034278 6:0.318671 7:0.695843087298711 8:0.563517 9:0.673218 10:0.592011 11:0.604044 12:0.6263 13:0.891824014196455 14:0.728591389979373 15:0.865168539325843 16:0.775280898876405 17:0.73714109646754 18:0.836187197211693 19:0.932584269662921 20:1.42010772324 21:0.3333 22:0.8889 23:0.1667 30:0.619622 #T0882:Atome2_CBS_TS3
0.75 1:0.55527 2:0.617996 3:0.670033263187649 4:0.507 5:0.630267656873448 6:0.280098 7:0.640496539550217 8:0.462473 9:0.561417 10:0.528249 11:0.523537 12:0.6192 13:0.908003995660127 14:0.748552797924014 15:0.719101123595506 16:0.752808988764045 17:0.756968944707094 18:0.840277056070618 19:0.859550561797753 20:1.3948120674 21:0.3889 22:0.7778 23:0.1667 30:0.596168 #T0882:Atome2_CBS_TS4
0.75633 1:0.63705 2:0.615529 3:0.673159922283939 4:0.512 5:0.678605492816911 6:0.335152 7:0.703695162929978 8:0.534557 9:0.664714 10:0.54472 11:0.556293 12:0.6109 13:0.911442868223455 14:0.756736975181316 15:0.865168539325843 16:0.651685393258427 17:0.765925424049985 18:0.847611400118914 19:0.932584269662921 20:1.41563726203 21:0.5 22:0.9444 23:0.2222 30:0.610018 #T0882:Atome2_CBS_TS5
0.87658 1:0.88785 2:0.583383 3:0.724883877043088 4:0.452 5:0.763631730027921 6:0.450654 7:0.830656083294499 8:0.726495 9:0.742046 10:0.688293 11:0.696667 12:0.5835 13:0.95795800370494 14:0.774236476146118 15:0.865168539325843 16:0.808988764044944 17:0.778054912480853 18:0.842750378668613 19:0.932584269662921 20:1.50870898201 21:0.5556 22:0.8333 23:0.1667 30:0.616641 #T0882:BAKER-ROSETTASERVER_TS1
